Date,Close,High,Low,Open,Volume,symbol
,DBEIL.NS,DBEIL.NS,DBEIL.NS,DBEIL.NS,DBEIL.NS,
2024-10-28,160.96490478515625,198.7834613378835,159.53366143696758,198.7834613378835,7640370,DBEIL
2024-10-29,156.29348754882812,168.86653469383882,154.05717373652374,160.0206772360021,2052812,DBEIL
2024-10-31,159.81195068359375,164.2845783849732,159.23549201480634,162.70425357031954,328820,DBEIL
2024-11-01,159.99085998535156,161.40222065196232,159.12615683615397,160.7164153270234,124267,DBEIL
2024-11-04,153.31173706054688,161.95881417274438,151.77116227731096,161.95881417274438,553939,DBEIL
2024-11-06,158.04278564453125,161.31278207995285,153.6099229449413,154.8523195796206,631348,DBEIL
2024-11-07,157.77442932128906,164.21500883834656,156.98922620285174,159.0267595933361,513600,DBEIL
2024-11-08,154.75291442871094,158.430405259415,153.69936455912276,158.02291070874472,211588,DBEIL
2024-11-11,152.7650909423828,155.9853885588083,151.96995404334226,154.44481366053753,165684,DBEIL
2024-11-12,149.72369384765625,154.5839485907352,149.0875874146593,153.90809214078942,216642,DBEIL
2024-11-13,145.19143676757812,149.59448299844004,143.9192238739762,149.13728954672553,213234,DBEIL
2024-11-14,147.23890686035156,148.83911430526416,143.7005637314701,145.45980158275304,156802,DBEIL
2024-11-18,143.4023895263672,149.07766408907844,142.6271352310721,147.24884469656016,144267,DBEIL
2024-11-19,143.3924560546875,146.57298844664183,142.13017681135847,143.27317566338158,168123,DBEIL
2024-11-21,140.59954833984375,142.63706667798863,138.25390289838444,142.63706667798863,188757,DBEIL
2024-11-22,149.50503540039062,154.4945043912188,140.07275495579273,141.13625372479504,314729,DBEIL
2024-11-25,154.82249450683594,157.2874050439911,150.68779510091693,154.04724026397284,1367300,DBEIL
2024-11-26,154.97158813476562,156.63142825446073,152.5663100182387,154.07706860495742,331290,DBEIL
2024-11-27,156.28355407714844,163.79756607152578,154.66346410417958,156.98922683272997,295832,DBEIL
2024-11-28,159.1162109375,161.20344325545054,155.49835270809987,156.52208627534952,361634,DBEIL
2024-11-29,169.979736328125,172.94160555611913,159.11621264452896,159.22554415123213,1520269,DBEIL
2024-12-02,168.7572021484375,178.8454712723922,167.02779585048276,169.711369375495,1118297,DBEIL
2024-12-03,168.7472686767578,173.93551790997907,168.14097855054695,168.96593168397968,398880,DBEIL
2024-12-04,172.1265869140625,178.70632960689076,169.07526875709178,169.66167631124287,631556,DBEIL
2024-12-05,173.83612060546875,177.61300918099087,171.20224596470882,174.9195019319079,356492,DBEIL
2024-12-06,192.66091918945312,197.2925772885547,181.8868596665265,183.3280366689408,5895921,DBEIL
2024-12-09,185.77308654785156,195.205352037161,184.03373126943399,193.66479235191355,763296,DBEIL
2024-12-10,178.96473693847656,187.0552227165503,176.9172698376972,185.76312726319262,572350,DBEIL
2024-12-11,182.73170471191406,187.85037282569525,177.92113337372905,178.45785721760544,508225,DBEIL
2024-12-12,190.50411987304688,203.65364100873057,182.5130317560121,184.57043260296825,3986839,DBEIL
2024-12-13,197.580810546875,204.7469608496411,187.89011701151577,188.8442842787952,3228813,DBEIL
2024-12-16,196.97451782226562,208.7226272651426,194.90718324112515,198.79338825120732,1801919,DBEIL
2024-12-17,191.3191375732422,197.78953343334635,190.83211265930905,196.79561617991246,643076,DBEIL
2024-12-18,195.0562744140625,196.58690041669044,189.83820847432324,190.9812073280667,658498,DBEIL
2024-12-19,190.6432647705078,194.65869894238602,189.15238889961685,190.18607132971314,559710,DBEIL
2024-12-20,188.44671630859375,203.70333696754247,185.86252539711077,192.32298750984458,1428147,DBEIL
2024-12-23,185.17672729492188,192.85970367615036,183.8746980756448,191.9651841843342,492116,DBEIL
2024-12-24,181.4197235107422,192.004936686728,180.44568880345653,184.4710569006534,490298,DBEIL
2024-12-26,203.05731201171875,205.74088574916507,181.68808957883445,181.94650262292305,2150379,DBEIL
2024-12-27,200.64207458496094,212.6982959317756,197.2925782357825,205.74087503681096,2405000,DBEIL
2024-12-30,189.10269165039062,201.76520295048178,187.8503613676899,200.76135198175947,711530,DBEIL
2024-12-31,191.6471405029297,193.71447513480183,188.84428644549206,189.1424646678114,453129,DBEIL
