Date,Close,High,Low,Open,Volume,symbol
,DCMFINSERV.NS,DCMFINSERV.NS,DCMFINSERV.NS,DCMFINSERV.NS,DCMFINSERV.NS,
2016-03-08,3.75,3.75,3.75,3.75,0,DCMFINSERV
2016-03-09,3.75,3.75,3.75,3.75,0,DCMFINSERV
2016-03-10,3.75,3.75,3.75,3.75,0,DCMFINSERV
2016-03-11,3.75,3.75,3.75,3.75,0,DCMFINSERV
2016-03-14,3.75,3.75,3.75,3.75,0,DCMFINSERV
2016-03-15,3.75,3.75,3.75,3.75,0,DCMFINSERV
2016-03-16,3.75,3.75,3.75,3.75,0,DCMFINSERV
2016-03-17,3.75,3.75,3.75,3.75,0,DCMFINSERV
2016-03-18,3.75,3.75,3.75,3.75,0,DCMFINSERV
2016-03-21,3.75,3.75,3.75,3.75,0,DCMFINSERV
2016-03-22,3.75,3.75,3.75,3.75,0,DCMFINSERV
2016-03-23,3.75,3.75,3.75,3.75,0,DCMFINSERV
2016-03-28,3.75,3.75,3.75,3.75,0,DCMFINSERV
2016-03-29,3.75,3.75,3.75,3.75,0,DCMFINSERV
2016-03-30,3.75,3.75,3.75,3.75,0,DCMFINSERV
2016-03-31,3.75,3.75,3.75,3.75,0,DCMFINSERV
2016-04-01,3.75,3.75,3.75,3.75,0,DCMFINSERV
2016-04-04,3.75,3.75,3.75,3.75,0,DCMFINSERV
2016-04-05,3.75,3.75,3.75,3.75,0,DCMFINSERV
2016-04-06,3.75,3.75,3.75,3.75,0,DCMFINSERV
2016-04-07,3.75,3.75,3.75,3.75,0,DCMFINSERV
2016-04-08,3.75,3.75,3.75,3.75,0,DCMFINSERV
2016-04-11,3.75,3.75,3.75,3.75,0,DCMFINSERV
2016-04-12,3.75,3.75,3.75,3.75,0,DCMFINSERV
2016-04-13,3.75,3.75,3.75,3.75,0,DCMFINSERV
2016-04-18,3.75,3.75,3.75,3.75,0,DCMFINSERV
2016-04-20,3.75,3.75,3.75,3.75,0,DCMFINSERV
2016-04-21,3.75,3.75,3.75,3.75,0,DCMFINSERV
2016-04-22,3.75,3.75,3.75,3.75,0,DCMFINSERV
