Date,Close,High,Low,Open,Volume,symbol
,EQUIPPP.NS,EQUIPPP.NS,EQUIPPP.NS,EQUIPPP.NS,EQUIPPP.NS,
2016-03-08,30.0,32.0,30.0,31.0,605,EQUIPPP
2016-03-09,31.0,33.0,30.0,33.0,911,EQUIPPP
2016-03-10,31.0,33.0,29.0,33.0,5099,EQUIPPP
2016-03-11,31.0,35.0,30.0,35.0,2850,EQUIPPP
2016-03-14,32.0,33.0,27.0,27.0,7775,EQUIPPP
2016-03-15,31.0,34.0,30.0,34.0,2597,EQUIPPP
2016-03-16,31.0,35.0,29.0,35.0,2116,EQUIPPP
2016-03-17,31.0,33.0,26.0,26.0,3049,EQUIPPP
2016-03-18,31.0,34.0,29.0,34.0,3726,EQUIPPP
2016-03-21,33.0,33.0,30.0,30.0,1513,EQUIPPP
2016-03-22,33.0,35.0,32.0,32.0,4569,EQUIPPP
2016-03-23,33.0,38.0,32.0,38.0,262,EQUIPPP
2016-03-28,31.0,37.0,31.0,37.0,588,EQUIPPP
2016-03-29,33.0,35.0,30.0,30.0,730,EQUIPPP
2016-03-30,33.0,36.0,33.0,36.0,475,EQUIPPP
2016-03-31,33.0,35.0,31.0,32.0,1376,EQUIPPP
2016-04-01,36.0,37.0,32.0,32.0,1935,EQUIPPP
2016-04-04,34.0,36.0,32.0,32.0,1006,EQUIPPP
2016-04-05,36.0,39.0,35.0,39.0,1892,EQUIPPP
2016-04-06,38.0,38.0,36.0,38.0,505,EQUIPPP
2016-04-07,38.0,39.0,35.0,35.0,1219,EQUIPPP
2016-04-08,41.0,42.0,34.0,35.0,1212,EQUIPPP
2016-04-11,38.0,45.0,37.0,41.0,1504,EQUIPPP
2016-04-12,41.0,44.0,38.0,44.0,1442,EQUIPPP
2016-04-13,40.0,44.0,38.0,44.0,1888,EQUIPPP
2016-04-18,39.0,40.0,38.0,38.0,1240,EQUIPPP
2016-04-20,36.0,39.0,33.0,39.0,3339,EQUIPPP
2016-04-21,37.0,39.0,34.0,34.0,1750,EQUIPPP
2016-04-22,36.0,40.0,36.0,39.0,588,EQUIPPP
2016-04-25,36.0,38.0,35.0,38.0,985,EQUIPPP
2016-04-26,36.0,40.0,31.0,40.0,3432,EQUIPPP
2016-04-27,35.0,38.0,34.0,34.0,595,EQUIPPP
2016-04-28,33.0,35.0,32.0,35.0,1256,EQUIPPP
2016-04-29,35.0,35.0,32.0,33.0,280,EQUIPPP
2016-05-02,36.0,36.0,32.0,32.0,2283,EQUIPPP
2016-05-03,34.0,36.0,33.0,33.0,2875,EQUIPPP
2016-05-04,35.0,35.0,32.0,33.0,514,EQUIPPP
2016-05-05,35.0,35.0,33.0,35.0,184,EQUIPPP
2016-05-06,34.0,34.0,33.0,33.0,25,EQUIPPP
2016-05-09,37.0,40.0,32.0,35.0,2660,EQUIPPP
2016-05-10,38.0,38.0,36.0,37.0,4752,EQUIPPP
2016-05-11,36.0,36.0,34.0,34.0,2540,EQUIPPP
2016-05-12,35.0,36.0,34.0,36.0,445,EQUIPPP
2016-05-13,36.0,36.0,34.0,34.0,32,EQUIPPP
2016-05-16,36.0,36.0,32.0,33.0,444,EQUIPPP
2016-05-17,38.0,39.0,34.0,34.0,479,EQUIPPP
2016-05-18,38.0,38.0,34.0,35.0,2122,EQUIPPP
2016-05-19,35.0,36.0,34.0,34.0,478,EQUIPPP
2016-05-20,32.0,35.0,30.0,34.0,3073,EQUIPPP
2016-05-23,35.0,35.0,33.0,33.0,1113,EQUIPPP
2016-05-24,32.0,36.0,32.0,32.0,127,EQUIPPP
2016-05-25,32.0,32.0,32.0,32.0,606,EQUIPPP
2016-05-26,34.0,34.0,32.0,32.0,424,EQUIPPP
2016-05-27,32.0,36.0,32.0,34.0,1106,EQUIPPP
2016-05-30,32.0,34.0,32.0,32.0,547,EQUIPPP
2016-05-31,30.0,36.0,30.0,36.0,1629,EQUIPPP
2016-06-01,32.0,33.0,30.0,30.0,2158,EQUIPPP
2016-06-02,30.0,33.0,30.0,33.0,75,EQUIPPP
2016-06-03,32.0,33.0,30.0,33.0,256,EQUIPPP
2016-06-06,28.0,30.0,26.0,29.0,1592,EQUIPPP
2016-06-07,32.0,32.0,26.0,26.0,1245,EQUIPPP
2016-06-08,32.0,33.0,30.0,32.0,147,EQUIPPP
2016-06-09,34.0,34.0,30.0,30.0,427,EQUIPPP
2016-06-10,33.0,34.0,30.0,34.0,1098,EQUIPPP
2016-06-13,32.0,33.0,30.0,30.0,75,EQUIPPP
2016-06-14,32.0,32.0,30.0,32.0,537,EQUIPPP
2016-06-15,32.0,34.0,31.0,31.0,210,EQUIPPP
2016-06-16,32.0,33.0,30.0,33.0,1035,EQUIPPP
2016-06-17,32.0,34.0,32.0,34.0,200,EQUIPPP
2016-06-20,31.0,32.0,30.0,31.0,1340,EQUIPPP
2016-06-21,33.0,33.0,30.0,30.0,70,EQUIPPP
2016-06-22,31.0,33.0,30.0,30.0,157,EQUIPPP
2016-06-23,36.0,36.0,30.0,36.0,1307,EQUIPPP
2016-06-24,34.0,36.0,30.0,35.0,469,EQUIPPP
2016-06-27,33.0,35.0,32.0,35.0,260,EQUIPPP
2016-06-28,29.0,35.0,27.0,32.0,3217,EQUIPPP
2016-06-29,30.0,33.0,24.0,32.0,10937,EQUIPPP
2016-06-30,30.0,32.0,26.0,32.0,2527,EQUIPPP
