Date,Close,High,Low,Open,Volume,symbol
,HALDER.NS,HALDER.NS,HALDER.NS,HALDER.NS,HALDER.NS,
2026-01-19,272.3699951171875,272.3699951171875,272.29998779296875,272.3699951171875,18203,HALDER
2026-01-20,282.30999755859375,285.9800109863281,272.0,275.0,11897,HALDER
2026-01-21,277.1499938964844,287.9599914550781,269.010009765625,287.9599914550781,1694,HALDER
2026-01-22,284.25,291.0,281.0,281.0,10246,HALDER
2026-01-23,280.0,285.0,280.0,284.20001220703125,279,HALDER
2026-01-27,267.2200012207031,286.0,267.1000061035156,267.1000061035156,504,HALDER
2026-01-28,280.0,280.5799865722656,268.0199890136719,268.0199890136719,181,HALDER
2026-01-29,273.0199890136719,294.0,270.0,294.0,907,HALDER
2026-01-30,269.739990234375,278.95001220703125,261.5,273.0199890136719,1029,HALDER
2026-02-02,274.8999938964844,278.70001220703125,263.70001220703125,263.70001220703125,472,HALDER
2026-02-03,274.0,282.8500061035156,274.0,274.0,158,HALDER
2026-02-04,274.95001220703125,275.3500061035156,274.0,274.0,125,HALDER
2026-02-05,282.1000061035156,288.0,272.20001220703125,272.20001220703125,2033,HALDER
2026-02-06,272.29998779296875,282.1000061035156,269.1000061035156,282.1000061035156,668,HALDER
2026-02-09,272.20001220703125,274.0,266.29998779296875,272.29998779296875,215,HALDER
2026-02-10,266.04998779296875,271.95001220703125,265.5,271.95001220703125,870,HALDER
2026-02-11,263.0,279.0,260.04998779296875,279.0,532,HALDER
2026-02-12,269.45001220703125,271.0,263.0,263.0,257,HALDER
2026-02-13,259.70001220703125,279.0,257.45001220703125,257.45001220703125,255,HALDER
2026-02-16,259.8999938964844,268.0,250.9499969482422,264.95001220703125,647,HALDER
2026-02-17,255.89999389648438,258.8999938964844,250.5,258.8999938964844,574,HALDER
2026-02-18,251.35000610351562,255.89999389648438,251.25,255.89999389648438,151,HALDER
2026-02-19,258.1000061035156,259.5,252.5,259.5,481,HALDER
2026-02-20,257.8999938964844,257.8999938964844,257.8999938964844,257.8999938964844,21,HALDER
2026-02-23,251.0,260.0,250.5,259.0,115,HALDER
2026-02-24,251.35000610351562,262.75,245.0,250.0,299,HALDER
2026-02-25,248.10000610351562,252.0,238.8000030517578,252.0,3985,HALDER
2026-02-26,255.0,255.0,235.6999969482422,255.0,2289,HALDER
2026-02-27,250.25,255.0,245.0,255.0,1047,HALDER
2026-03-02,245.0,258.95001220703125,237.75,237.75,9,HALDER
2026-03-04,242.0500030517578,257.1000061035156,241.5,243.8000030517578,762,HALDER
2026-03-05,254.14999389648438,254.14999389648438,245.89999389648438,245.89999389648438,30607,HALDER
2026-03-06,265.70001220703125,266.8500061035156,254.1999969482422,266.8500061035156,16911,HALDER
