Date,Close,High,Low,Open,Volume,symbol
,HMT.NS,HMT.NS,HMT.NS,HMT.NS,HMT.NS,
2016-03-08,47.20000076293945,49.0,45.20000076293945,48.0,579953,HMT
2016-03-09,46.20000076293945,48.099998474121094,45.849998474121094,47.95000076293945,367626,HMT
2016-03-10,44.599998474121094,46.900001525878906,44.099998474121094,46.900001525878906,145679,HMT
2016-03-11,43.900001525878906,45.5,43.400001525878906,44.79999923706055,122814,HMT
2016-03-14,44.04999923706055,45.849998474121094,43.54999923706055,44.400001525878906,201984,HMT
2016-03-15,43.29999923706055,44.45000076293945,43.04999923706055,44.45000076293945,118314,HMT
2016-03-16,42.5,43.849998474121094,41.849998474121094,43.79999923706055,134888,HMT
2016-03-17,43.599998474121094,45.79999923706055,43.04999923706055,43.04999923706055,458553,HMT
2016-03-18,44.54999923706055,46.5,44.099998474121094,44.099998474121094,333351,HMT
2016-03-21,44.900001525878906,45.5,44.0,44.70000076293945,201825,HMT
2016-03-22,44.400001525878906,45.20000076293945,44.25,45.150001525878906,108056,HMT
2016-03-23,44.599998474121094,45.5,43.95000076293945,44.54999923706055,138635,HMT
2016-03-28,42.95000076293945,45.099998474121094,42.54999923706055,45.0,105174,HMT
2016-03-29,43.75,44.25,42.5,43.45000076293945,110718,HMT
2016-03-30,43.95000076293945,44.79999923706055,43.70000076293945,44.04999923706055,109957,HMT
2016-03-31,44.400001525878906,45.5,44.04999923706055,44.04999923706055,190808,HMT
2016-04-01,44.849998474121094,45.20000076293945,44.20000076293945,44.650001525878906,89720,HMT
2016-04-04,44.849998474121094,46.29999923706055,44.349998474121094,45.099998474121094,84963,HMT
2016-04-05,43.849998474121094,45.099998474121094,43.79999923706055,44.75,86149,HMT
2016-04-06,44.849998474121094,45.25,44.20000076293945,44.349998474121094,106573,HMT
2016-04-07,44.900001525878906,45.70000076293945,44.54999923706055,45.04999923706055,134296,HMT
2016-04-08,44.650001525878906,45.0,44.400001525878906,44.95000076293945,92536,HMT
2016-04-11,45.70000076293945,50.0,44.54999923706055,44.900001525878906,578305,HMT
2016-04-12,45.650001525878906,47.20000076293945,45.20000076293945,45.900001525878906,119971,HMT
2016-04-13,45.79999923706055,47.95000076293945,45.5,45.95000076293945,284675,HMT
2016-04-18,46.20000076293945,47.25,45.400001525878906,46.099998474121094,145191,HMT
2016-04-20,46.650001525878906,48.0,46.0,46.650001525878906,195177,HMT
2016-04-21,46.45000076293945,48.400001525878906,46.0,46.95000076293945,217246,HMT
2016-04-22,46.45000076293945,46.900001525878906,46.04999923706055,46.5,108299,HMT
2016-04-25,45.95000076293945,47.0,45.099998474121094,46.900001525878906,112488,HMT
2016-04-26,47.400001525878906,47.849998474121094,45.099998474121094,46.25,237662,HMT
2016-04-27,48.400001525878906,49.5,47.650001525878906,48.5,786778,HMT
2016-04-28,46.20000076293945,48.45000076293945,45.849998474121094,48.45000076293945,189672,HMT
2016-04-29,45.70000076293945,46.849998474121094,45.20000076293945,46.0,121022,HMT
2016-05-02,45.54999923706055,46.400001525878906,45.400001525878906,45.79999923706055,103729,HMT
2016-05-03,44.79999923706055,46.349998474121094,44.54999923706055,45.54999923706055,142397,HMT
2016-05-04,43.5,45.150001525878906,43.099998474121094,44.79999923706055,110172,HMT
2016-05-05,43.400001525878906,44.0,43.0,43.79999923706055,84115,HMT
2016-05-06,44.95000076293945,46.29999923706055,42.75,43.25,286287,HMT
2016-05-09,44.29999923706055,45.349998474121094,44.099998474121094,45.349998474121094,127490,HMT
2016-05-10,44.29999923706055,45.150001525878906,44.099998474121094,44.599998474121094,57710,HMT
2016-05-11,43.45000076293945,44.70000076293945,43.0,44.0,86247,HMT
2016-05-12,43.75,44.650001525878906,43.400001525878906,43.900001525878906,86998,HMT
2016-05-13,43.29999923706055,44.0,43.04999923706055,43.79999923706055,52056,HMT
2016-05-16,43.45000076293945,43.70000076293945,42.79999923706055,43.45000076293945,73888,HMT
2016-05-17,43.599998474121094,44.75,43.29999923706055,43.75,90949,HMT
2016-05-18,43.29999923706055,43.900001525878906,43.0,43.349998474121094,45020,HMT
2016-05-19,42.400001525878906,43.5,42.150001525878906,43.349998474121094,58981,HMT
2016-05-20,41.650001525878906,42.75,41.349998474121094,42.20000076293945,77859,HMT
2016-05-23,41.900001525878906,43.0,41.400001525878906,43.0,36918,HMT
2016-05-24,41.599998474121094,43.0,41.45000076293945,43.0,24153,HMT
2016-05-25,41.099998474121094,42.5,41.0,42.5,12288,HMT
2016-05-26,39.79999923706055,41.0,39.150001525878906,41.0,23300,HMT
2016-05-27,40.150001525878906,41.5,39.20000076293945,39.20000076293945,20477,HMT
2016-05-30,40.75,41.04999923706055,39.599998474121094,39.599998474121094,15052,HMT
2016-05-31,41.849998474121094,42.349998474121094,41.150001525878906,41.900001525878906,33690,HMT
2016-06-01,43.900001525878906,43.900001525878906,41.95000076293945,42.20000076293945,63111,HMT
2016-06-02,42.150001525878906,44.5,41.900001525878906,44.5,44956,HMT
2016-06-03,41.0,42.5,40.75,42.5,19508,HMT
2016-06-06,41.20000076293945,42.5,40.25,41.0,11928,HMT
2016-06-07,40.650001525878906,41.95000076293945,40.5,41.95000076293945,19028,HMT
2016-06-08,41.099998474121094,41.5,40.20000076293945,40.29999923706055,22519,HMT
2016-06-09,42.599998474121094,43.150001525878906,41.0,41.0,78807,HMT
2016-06-10,41.75,42.95000076293945,41.099998474121094,42.95000076293945,27433,HMT
2016-06-13,41.150001525878906,41.849998474121094,41.0,41.849998474121094,13278,HMT
2016-06-14,41.45000076293945,42.099998474121094,41.04999923706055,41.900001525878906,8881,HMT
2016-06-15,41.70000076293945,42.79999923706055,41.25,42.79999923706055,20889,HMT
2016-06-16,41.349998474121094,42.25,40.599998474121094,42.25,13075,HMT
2016-06-17,41.20000076293945,42.0,41.0,42.0,11501,HMT
2016-06-20,41.650001525878906,41.75,41.0,41.650001525878906,11833,HMT
2016-06-21,42.150001525878906,43.20000076293945,41.5,42.0,20623,HMT
2016-06-22,42.29999923706055,43.70000076293945,41.20000076293945,42.900001525878906,41262,HMT
2016-06-23,41.5,43.0,41.20000076293945,42.29999923706055,16327,HMT
2016-06-24,40.25,42.5,39.45000076293945,41.25,51822,HMT
2016-06-27,40.599998474121094,41.0,39.400001525878906,39.400001525878906,18562,HMT
2016-06-28,41.099998474121094,42.04999923706055,41.0,41.5,28729,HMT
2016-06-29,41.54999923706055,42.0,41.349998474121094,41.900001525878906,21278,HMT
2016-06-30,41.849998474121094,42.349998474121094,41.54999923706055,41.70000076293945,20608,HMT
2016-07-01,41.95000076293945,42.900001525878906,41.70000076293945,42.099998474121094,28283,HMT
2016-07-04,42.650001525878906,43.0,42.0,42.0,17069,HMT
2016-07-05,42.349998474121094,43.0,42.0,42.900001525878906,43842,HMT
2016-07-07,42.54999923706055,42.95000076293945,42.0,42.95000076293945,16437,HMT
2016-07-08,42.20000076293945,42.79999923706055,41.29999923706055,42.79999923706055,7214,HMT
2016-07-11,42.599998474121094,43.25,42.099998474121094,43.25,31375,HMT
2016-07-12,42.5,43.20000076293945,42.099998474121094,43.20000076293945,11705,HMT
2016-07-13,44.099998474121094,44.599998474121094,42.099998474121094,42.099998474121094,133727,HMT
2016-07-14,43.45000076293945,43.900001525878906,43.0,43.0,16913,HMT
2016-07-15,42.54999923706055,44.0,42.5,44.0,15244,HMT
2016-07-18,42.25,43.400001525878906,42.099998474121094,42.20000076293945,17392,HMT
2016-07-19,41.849998474121094,42.849998474121094,41.70000076293945,42.849998474121094,10954,HMT
2016-07-20,42.29999923706055,43.0,41.25,41.25,14156,HMT
2016-07-21,42.20000076293945,43.0,42.150001525878906,43.0,4048,HMT
2016-07-22,41.95000076293945,42.849998474121094,41.75,42.849998474121094,5604,HMT
2016-07-25,41.0,42.400001525878906,41.0,42.400001525878906,45893,HMT
2016-07-26,40.54999923706055,41.70000076293945,40.29999923706055,41.70000076293945,25972,HMT
2016-07-27,40.400001525878906,41.29999923706055,40.099998474121094,40.849998474121094,13510,HMT
2016-07-28,41.5,41.79999923706055,41.0,41.0,25107,HMT
2016-07-29,40.70000076293945,41.5,40.54999923706055,41.5,24513,HMT
2016-08-01,40.599998474121094,41.29999923706055,40.349998474121094,40.5,5616,HMT
2016-08-02,40.04999923706055,40.75,39.900001525878906,40.29999923706055,35790,HMT
2016-08-03,39.95000076293945,40.75,39.45000076293945,40.0,17935,HMT
2016-08-04,40.04999923706055,40.900001525878906,39.5,40.0,5096,HMT
2016-08-05,40.400001525878906,40.650001525878906,39.900001525878906,40.650001525878906,20868,HMT
2016-08-08,40.04999923706055,40.599998474121094,39.70000076293945,40.5,15984,HMT
2016-08-09,39.349998474121094,40.599998474121094,39.20000076293945,39.650001525878906,22293,HMT
2016-08-10,38.599998474121094,39.650001525878906,38.29999923706055,39.25,38209,HMT
2016-08-11,38.75,39.29999923706055,38.5,38.599998474121094,11778,HMT
2016-08-12,38.79999923706055,39.95000076293945,38.599998474121094,38.75,24236,HMT
2016-08-16,38.150001525878906,39.5,38.0,39.5,23159,HMT
2016-08-17,38.70000076293945,39.45000076293945,38.25,38.25,12085,HMT
2016-08-18,38.54999923706055,39.25,38.099998474121094,38.099998474121094,11302,HMT
2016-08-19,39.25,39.5,38.0,39.0,30864,HMT
2016-08-22,38.70000076293945,39.5,38.5,39.5,10807,HMT
2016-08-23,38.400001525878906,39.20000076293945,38.20000076293945,39.20000076293945,6493,HMT
2016-08-24,39.0,39.650001525878906,38.20000076293945,38.20000076293945,12122,HMT
2016-08-25,38.349998474121094,39.0,38.349998474121094,39.0,16832,HMT
2016-08-26,38.400001525878906,39.900001525878906,38.20000076293945,39.900001525878906,7322,HMT
2016-08-29,38.20000076293945,39.0,38.099998474121094,39.0,3945,HMT
2016-08-30,38.54999923706055,39.75,38.5,39.75,9732,HMT
2016-08-31,38.5,39.5,38.29999923706055,38.75,18829,HMT
2016-09-01,37.45000076293945,39.29999923706055,36.900001525878906,38.400001525878906,44909,HMT
2016-09-02,38.0,39.29999923706055,37.0,38.75,56387,HMT
2016-09-06,38.349998474121094,38.79999923706055,38.0,38.0,11295,HMT
2016-09-07,38.70000076293945,38.95000076293945,38.20000076293945,38.599998474121094,16475,HMT
2016-09-08,39.0,39.5,38.0,38.04999923706055,22474,HMT
2016-09-09,40.900001525878906,40.95000076293945,38.75,39.54999923706055,74078,HMT
2016-09-12,39.599998474121094,40.95000076293945,39.099998474121094,39.099998474121094,13156,HMT
2016-09-14,39.599998474121094,39.849998474121094,38.599998474121094,39.04999923706055,22453,HMT
2016-09-15,39.150001525878906,40.0,38.650001525878906,40.0,7290,HMT
2016-09-16,39.04999923706055,39.70000076293945,38.79999923706055,39.70000076293945,10277,HMT
2016-09-19,38.54999923706055,39.20000076293945,38.45000076293945,39.20000076293945,4731,HMT
2016-09-20,38.599998474121094,39.349998474121094,38.25,39.0,14621,HMT
2016-09-21,38.5,39.29999923706055,38.5,39.29999923706055,11367,HMT
2016-09-22,39.0,40.0,38.5,39.79999923706055,14579,HMT
2016-09-23,38.599998474121094,39.5,38.20000076293945,39.5,13600,HMT
