Date,Close,High,Low,Open,Volume,symbol
,IMPAL.NS,IMPAL.NS,IMPAL.NS,IMPAL.NS,IMPAL.NS,
2016-03-08,367.6423034667969,375.8450345243659,367.61485110327374,370.3582539491466,1704,IMPAL
2016-03-09,367.8343200683594,373.1016575619062,367.6148518588827,367.6697314695151,330,IMPAL
2016-03-10,368.49273681640625,370.35824164768746,367.6148388929368,367.861759457284,580,IMPAL
2016-03-11,368.1635437011719,373.07420134973984,367.61484806661383,368.1635437011719,2002,IMPAL
2016-03-14,370.35821533203125,370.35821533203125,368.71217881944443,368.71217881944443,148,IMPAL
2016-03-15,367.8616943359375,373.04669875451054,367.6147738153018,370.35817608439703,1590,IMPAL
2016-03-16,367.88916015625,375.81756767533903,367.6148123656143,375.81756767533903,1249,IMPAL
2016-03-17,371.2134704589844,375.61818292621126,371.2134704589844,371.26888729162135,1138,IMPAL
2016-03-18,371.7121887207031,376.17229347670184,371.2135385850363,374.9810976615417,154,IMPAL
2016-03-21,376.7540283203125,385.06477875853705,371.85066527184193,378.94252424488513,750,IMPAL
2016-03-22,383.9012145996094,396.6443724375108,372.4878071322797,372.4878071322797,2185,IMPAL
2016-03-23,384.6492614746094,386.1728822268495,372.3493349614487,379.6628109493169,1101,IMPAL
2016-03-28,374.09454345703125,383.9566347563171,373.318885323611,383.9566347563171,181,IMPAL
2016-03-29,374.1222839355469,391.1316270577767,371.5182504183297,391.1316270577767,529,IMPAL
2016-03-30,372.072265625,390.4390017481039,371.2688864092398,371.2965821442951,1032,IMPAL
2016-03-31,372.6263732910156,379.4965907224504,372.4047566464402,372.4047566464402,906,IMPAL
2016-04-01,372.7371520996094,398.36197405743104,371.8506602291018,394.9822570892672,400,IMPAL
2016-04-04,372.93109130859375,376.75404171861004,372.32163287313045,372.32163287313045,543,IMPAL
2016-04-05,371.4073791503906,375.31344144537616,371.2134582861126,371.6567168454884,2931,IMPAL
2016-04-06,375.5904541015625,376.726258204502,371.5736088206444,376.726258204502,682,IMPAL
2016-04-07,372.4324035644531,375.59047837926136,371.21348681667627,375.59047837926136,90,IMPAL
2016-04-08,371.4073791503906,373.9837164920368,370.1053752936581,373.9837164920368,847,IMPAL
2016-04-11,373.4020080566406,382.2668254563748,371.2135121261357,371.4351287567694,829,IMPAL
2016-04-12,371.6290588378906,373.9837799807913,371.4351379406919,373.9837799807913,462,IMPAL
2016-04-13,371.96148681640625,376.7540160311373,371.43511563425045,372.3770243247632,2140,IMPAL
2016-04-18,372.54327392578125,376.7263453059474,372.3216572733433,372.87569890443814,178,IMPAL
2016-04-20,371.3520202636719,374.53779084948434,371.21349085566527,372.321599307737,1623,IMPAL
2016-04-21,371.2134704589844,373.7066953173561,371.2134704589844,372.04454541177495,955,IMPAL
2016-04-22,371.6568298339844,373.3743716756408,371.2135711398522,371.7953339095497,390,IMPAL
2016-04-25,373.95611572265625,385.61886337611264,371.76761955380533,371.76761955380533,568,IMPAL
2016-04-26,371.43511962890625,377.72359915879093,371.2135030037187,371.57364904144623,594,IMPAL
2016-04-27,371.2134704589844,384.3721656656332,371.2134704589844,371.54592073001646,181,IMPAL
2016-04-28,371.7676086425781,373.42975886696763,371.7676086425781,373.42975886696763,120,IMPAL
2016-04-29,377.3080749511719,379.38576258856824,371.79527877744016,375.09188325874845,34,IMPAL
2016-05-02,372.1830749511719,382.2667826913037,366.36555027946525,371.24119169515046,373,IMPAL
2016-05-03,377.7236022949219,387.724198423326,371.24122718597454,371.24122718597454,148,IMPAL
2016-05-04,373.9837341308594,373.9837341308594,371.79523841454954,372.40469677034145,121,IMPAL
2016-05-05,376.14453125,386.7268891021058,372.3215813688233,386.7268891021058,172,IMPAL
2016-05-06,371.7952575683594,373.9837533974141,371.26891175440426,373.9837533974141,226,IMPAL
2016-05-09,371.82293701171875,373.98373700913953,371.76754554025416,373.98373700913953,357,IMPAL
2016-05-10,371.5459289550781,387.83497810045446,371.26889551055024,387.80728236472027,493,IMPAL
2016-05-11,372.6817321777344,378.69317824510307,371.6013447893157,373.9837615537438,717,IMPAL
2016-05-12,374.011474609375,374.011474609375,374.011474609375,374.011474609375,28,IMPAL
2016-05-13,371.3796691894531,373.9837021655575,371.2411651613006,373.9837021655575,268,IMPAL
2016-05-16,371.3796691894531,371.3796691894531,371.3796691894531,371.3796691894531,0,IMPAL
2016-05-17,371.2412414550781,377.72361681318336,371.21352035383626,377.72361681318336,3123,IMPAL
2016-05-18,371.3796691894531,372.0445189594569,371.2134440657557,371.32425236075636,73,IMPAL
2016-05-19,375.895263671875,376.92025969345923,371.57368829933574,371.57368829933574,60,IMPAL
2016-05-20,371.2412414550781,371.87839562287155,371.21352035383626,371.6844747261695,271,IMPAL
2016-05-23,371.2134704589844,375.5350703584532,371.2134704589844,371.46280816225845,915,IMPAL
2016-05-24,371.2134704589844,372.04454541177495,371.2134704589844,371.26888729162135,735,IMPAL
2016-05-25,371.7952575683594,373.70671994076537,371.21349491811594,371.8229533053053,1066,IMPAL
2016-05-26,371.7952575683594,376.64320356653207,371.3797200645845,372.3216033823145,163,IMPAL
2016-05-27,376.83709716796875,390.60525155869493,374.5377930404463,376.75400995755416,247,IMPAL
2016-05-30,376.83709716796875,381.1586973301724,372.90336413301475,381.1586973301724,301,IMPAL
2016-05-31,373.37432861328125,376.14458734189805,371.4905618082854,371.5182575477239,358,IMPAL
2016-06-01,374.26080322265625,378.416178442144,371.4905446221986,371.51824036035583,534,IMPAL
2016-06-02,378.4161682128906,378.4161682128906,374.5378012046095,376.72629707022094,237,IMPAL
2016-06-03,374.731689453125,382.2944765619379,373.98372707146103,378.41613525384696,280,IMPAL
2016-06-06,382.2945251464844,385.0093669434078,379.49657077161476,385.0093669434078,640,IMPAL
2016-06-07,378.66546630859375,385.0647538774943,371.3242954417142,371.3242954417142,807,IMPAL
2016-06-08,377.0033264160156,382.2945056855332,373.98375556193463,382.2390888489241,405,IMPAL
2016-06-09,374.011474609375,382.2668337732778,373.01419974982576,382.2668337732778,732,IMPAL
2016-06-10,379.552001953125,381.7404979889494,370.6594883872165,373.98378873149653,6753,IMPAL
2016-06-13,388.0843200683594,395.5916906271803,372.87563271126356,378.97019102099625,1287,IMPAL
2016-06-14,397.0045471191406,399.47005107888725,387.8350008012265,388.08433852461445,1111,IMPAL
2016-06-15,438.28125,450.9967386940671,396.69982761707394,396.69982761707394,10021,IMPAL
2016-06-16,429.00091552734375,436.4251988875128,414.4847990894696,434.9292233412165,3040,IMPAL
2016-06-17,429.3887023925781,436.56362176132325,412.4901714774516,412.4901714774516,1447,IMPAL
2016-06-20,430.63543701171875,434.3752750119739,415.53755558390384,434.3752750119739,726,IMPAL
2016-06-21,429.99822998046875,434.9015420990801,418.30776301716065,418.41857132754296,1108,IMPAL
2016-06-22,423.8482666015625,437.14546712239587,418.86181640625,418.86181640625,637,IMPAL
2016-06-23,428.2806396484375,428.2806396484375,416.6733105698273,423.2942149344948,336,IMPAL
2016-06-24,416.0361633300781,426.06448048543,401.68627125445073,411.1051046463314,2335,IMPAL
2016-06-27,415.45440673828125,423.8205739629345,406.1186604226931,415.5375193146237,1941,IMPAL
2016-06-28,415.9807434082031,426.590797785986,412.7672516388008,415.4543975861594,3226,IMPAL
2016-06-29,421.2165832519531,429.2779967267963,411.16056919219204,421.46589564386784,1132,IMPAL
2016-06-30,430.9955139160156,434.37525642163837,415.8145712791152,415.8145712791152,951,IMPAL
2016-07-01,420.35772705078125,433.98737741189274,415.5651979074003,423.8482522139725,1566,IMPAL
2016-07-04,431.66033935546875,451.5506955014742,426.6184475770102,451.5506955014742,1749,IMPAL
2016-07-05,419.80364990234375,432.1589656099678,415.6759709675075,432.1589656099678,2608,IMPAL
2016-07-07,426.5630798339844,431.0232092639901,416.7009884156111,421.0779799130382,1896,IMPAL
2016-07-08,421.6043701171875,436.037400791976,419.4158741379497,436.037400791976,2119,IMPAL
2016-07-11,414.4571228027344,426.6184935475702,410.6064768991867,426.6184935475702,3885,IMPAL
2016-07-12,414.4294128417969,415.5375213528704,407.22677092581296,415.5375213528704,180,IMPAL
2016-07-13,415.5375061035156,424.4022977795918,413.8753560791016,424.4022977795918,39,IMPAL
2016-07-14,422.21380615234375,426.39687699223083,407.7808016054676,407.808522705242,978,IMPAL
2016-07-15,412.5733947753906,421.05037144308113,410.55112374791196,420.52402553935923,984,IMPAL
2016-07-18,413.68145751953125,421.0780204548609,407.22677795803986,421.0780204548609,402,IMPAL
2016-07-19,409.9969787597656,415.64827820550715,409.9969787597656,413.90301575943,1177,IMPAL
2016-07-20,405.5368957519531,429.9427740681561,402.7943330920759,429.9427740681561,1129,IMPAL
2016-07-21,407.22674560546875,412.6841498823608,402.87744977075073,402.87744977075073,99,IMPAL
2016-07-22,416.0361633300781,420.5239634006092,409.9970215192849,409.9970215192849,1257,IMPAL
2016-07-25,413.3766784667969,421.0779696853264,413.3212869962839,415.53747842709674,3802,IMPAL
2016-07-26,423.48809814453125,425.51036865979967,409.9969782565426,415.53746939433563,2548,IMPAL
2016-07-27,435.34478759765625,445.4562174009043,416.2300872133729,417.75370786462605,5158,IMPAL
2016-07-28,522.4136962890625,522.4136962890625,448.17101723637217,448.17101723637217,47554,IMPAL
2016-07-29,515.1557006835938,552.7757455355726,495.93019145468844,526.3475181932694,31893,IMPAL
2016-08-01,500.362548828125,531.3339409017149,493.1044903397873,515.1556739006079,5926,IMPAL
2016-08-02,473.601806640625,506.26308715599424,470.9424078363849,498.6725802424119,1563,IMPAL
2016-08-03,462.1607666015625,476.4829618445647,457.2020632841662,476.4829618445647,1080,IMPAL
2016-08-04,464.6817321777344,493.10445497737845,462.7425234717701,465.4019734651,2494,IMPAL
2016-08-05,468.8924865722656,486.45584307422143,463.6012824543154,483.2423770101419,1162,IMPAL
2016-08-08,458.69805908203125,484.2397702787645,456.260225286734,484.2397702787645,1555,IMPAL
2016-08-09,457.1466369628906,475.2363659027531,449.3899539476871,473.68504958962916,1321,IMPAL
2016-08-10,455.06890869140625,468.1998822398401,451.5506881598367,468.1998822398401,291,IMPAL
2016-08-11,456.4541320800781,463.2689577654764,446.564318505864,459.861519560379,786,IMPAL
2016-08-12,449.4730529785156,469.8343908131402,448.78050737539826,463.4628495249566,429,IMPAL
2016-08-16,457.6453552246094,465.31895174873387,456.5372213153026,462.437884744211,829,IMPAL
2016-08-17,457.06353759765625,469.77897448906197,446.037946381329,459.8891620597516,1992,IMPAL
2016-08-18,464.12774658203125,473.7128059508293,459.861537406574,459.861537406574,2061,IMPAL
2016-08-19,472.21685791015625,475.92899993103225,462.6594947470099,470.94254958504285,579,IMPAL
2016-08-22,474.1836242675781,479.25321161758336,465.40194630731764,466.6762543969971,918,IMPAL
2016-08-23,470.94244384765625,470.94244384765625,465.40192779893124,465.42962353132896,354,IMPAL
2016-08-24,461.4405822753906,468.1722700164007,459.9723530412445,465.45742818393444,462,IMPAL
2016-08-25,468.2276306152344,475.92892149878355,459.86143921529094,467.83978888893364,255,IMPAL
2016-08-26,459.9446716308594,468.72635157043015,459.8615336868369,468.72635157043015,369,IMPAL
2016-08-29,459.4736022949219,465.40196046286184,457.1466026375652,465.40196046286184,517,IMPAL
2016-08-30,462.07769775390625,467.0087562565484,456.0385561649145,459.3074646756361,298,IMPAL
2016-08-31,468.14453125,470.9425107667344,460.5540734022093,462.0776939740757,417,IMPAL
2016-09-01,462.1884765625,470.9424587175322,461.02495141635086,463.0472471930827,345,IMPAL
2016-09-02,465.4019775390625,470.94249417993376,462.1053734348555,462.1053734348555,567,IMPAL
2016-09-06,467.1748962402344,487.5639256611413,462.6316803271872,462.6316803271872,261,IMPAL
2016-09-07,465.4574279785156,479.253304495381,458.1439775498912,458.47642786588176,322,IMPAL
2016-09-08,470.3885192871094,470.3885192871094,465.40206855261704,465.956135542494,36,IMPAL
2016-09-09,470.8870849609375,470.8870849609375,457.6453268708556,457.6453268708556,402,IMPAL
2016-09-12,458.5871887207031,469.28038109724093,450.4426636194069,454.3487263824676,1611,IMPAL
2016-09-14,466.9533386230469,493.1599488357644,459.86150504775406,468.7263223792676,171,IMPAL
2016-09-15,478.3945617675781,486.8437916095825,468.17229728609834,470.9425814824796,1227,IMPAL
2016-09-16,478.422119140625,478.42211914062494,466.51001213591906,473.7126779486632,196,IMPAL
2016-09-19,479.94580078125,482.0234882305195,472.07828421004405,476.48297145753713,231,IMPAL
2016-09-20,466.37158203125,481.7187730581808,461.82836548593275,481.7187730581808,213,IMPAL
2016-09-21,469.9175109863281,476.4829729111746,457.0912402337636,476.4829729111746,259,IMPAL
