Date,Close,High,Low,Open,Volume,symbol
,INDTERRAIN.NS,INDTERRAIN.NS,INDTERRAIN.NS,INDTERRAIN.NS,INDTERRAIN.NS,
2016-03-08,116.69999694824219,125.0,115.0,125.0,15453,INDTERRAIN
2016-03-09,117.3499984741211,118.0,114.0,115.55000305175781,6617,INDTERRAIN
2016-03-10,116.5,120.5,113.5,116.0,5905,INDTERRAIN
2016-03-11,119.0999984741211,120.0,115.5,119.69999694824219,5499,INDTERRAIN
2016-03-14,117.30000305175781,124.0,116.0,119.0,18795,INDTERRAIN
2016-03-15,115.19999694824219,119.0,115.0,117.30000305175781,10075,INDTERRAIN
2016-03-16,115.5,120.0,114.5,118.55000305175781,17427,INDTERRAIN
2016-03-17,117.30000305175781,118.0,115.55000305175781,118.0,7736,INDTERRAIN
2016-03-18,116.80000305175781,118.0,114.9000015258789,114.9000015258789,3533,INDTERRAIN
2016-03-21,119.5999984741211,120.0,114.25,115.5,38341,INDTERRAIN
2016-03-22,122.1500015258789,123.0,117.19999694824219,117.19999694824219,12613,INDTERRAIN
2016-03-23,132.4499969482422,134.5500030517578,118.0,118.0,588984,INDTERRAIN
2016-03-28,133.8000030517578,144.89999389648438,128.1999969482422,132.4499969482422,71500,INDTERRAIN
2016-03-29,134.0500030517578,139.0,128.89999389648438,134.0,82026,INDTERRAIN
2016-03-30,132.64999389648438,137.0,132.0,135.0,12523,INDTERRAIN
2016-03-31,133.5500030517578,135.6999969482422,126.05000305175781,129.0,58095,INDTERRAIN
2016-04-01,138.5,142.0,131.5,133.39999389648438,97514,INDTERRAIN
2016-04-04,138.10000610351562,142.75,135.0,138.64999389648438,10916,INDTERRAIN
2016-04-05,135.0,138.89999389648438,133.10000610351562,137.0,3623,INDTERRAIN
2016-04-06,133.75,137.60000610351562,133.0500030517578,134.0,5029,INDTERRAIN
2016-04-07,131.89999389648438,134.6999969482422,129.0500030517578,134.0,9095,INDTERRAIN
2016-04-08,132.5500030517578,135.0,128.89999389648438,131.0,5035,INDTERRAIN
2016-04-11,131.8000030517578,135.0,131.14999389648438,131.14999389648438,3754,INDTERRAIN
2016-04-12,131.5500030517578,134.75,129.3000030517578,129.3000030517578,52980,INDTERRAIN
2016-04-13,131.8000030517578,136.89999389648438,129.1999969482422,136.89999389648438,27299,INDTERRAIN
2016-04-18,133.25,136.89999389648438,132.1999969482422,136.0,21950,INDTERRAIN
2016-04-20,134.8000030517578,135.89999389648438,133.3000030517578,133.3000030517578,55380,INDTERRAIN
2016-04-21,134.6999969482422,135.0,133.5,135.0,7379,INDTERRAIN
2016-04-22,131.14999389648438,134.89999389648438,129.0,134.0,31816,INDTERRAIN
2016-04-25,131.8000030517578,132.89999389648438,128.0,132.89999389648438,3243,INDTERRAIN
2016-04-26,130.35000610351562,131.0,125.6500015258789,129.0,10830,INDTERRAIN
2016-04-27,130.75,133.75,129.10000610351562,133.75,3358,INDTERRAIN
2016-04-28,130.25,132.0,127.4000015258789,130.6999969482422,18716,INDTERRAIN
2016-04-29,131.10000610351562,133.6999969482422,129.6999969482422,133.5500030517578,2808,INDTERRAIN
2016-05-02,132.5,133.5,127.05000305175781,131.10000610351562,56941,INDTERRAIN
2016-05-03,132.25,136.8000030517578,131.0,131.0,13398,INDTERRAIN
2016-05-04,130.3000030517578,133.8000030517578,130.0,132.25,15368,INDTERRAIN
2016-05-05,128.60000610351562,133.0,128.0,133.0,3773,INDTERRAIN
