Date,Close,High,Low,Open,Volume,symbol
,JUBLPHARMA.NS,JUBLPHARMA.NS,JUBLPHARMA.NS,JUBLPHARMA.NS,JUBLPHARMA.NS,
2016-03-08,259.8479309082031,267.28389094076226,247.4089567438073,250.15031640634191,1584510,JUBLPHARMA
2016-03-09,258.78564453125,263.78865853989316,253.5770306432588,259.67657734175805,802890,JUBLPHARMA
2016-03-10,244.63330078125,261.52699376326024,243.3653931032574,257.44922117885255,964481,JUBLPHARMA
2016-03-11,249.1565399169922,250.80136666607817,242.85139393748688,243.36537965188515,643887,JUBLPHARMA
2016-03-14,264.0970153808594,266.8726552524067,249.22506944702766,250.80136288574175,1591743,JUBLPHARMA
2016-03-15,251.72659301757812,264.0970330498023,247.6830731570937,263.8571804694219,979439,JUBLPHARMA
2016-03-16,258.2373962402344,259.3339290067513,248.16283422549847,252.99450140394768,671123,JUBLPHARMA
2016-03-17,262.3836975097656,270.91621835146714,257.0037640517973,261.15009817122115,1166110,JUBLPHARMA
2016-03-18,277.2214050292969,282.3614861052466,254.87921493771213,264.47401622391504,3087319,JUBLPHARMA
2016-03-21,302.99029541015625,309.912269677597,275.8506925700625,278.93474658178,3070261,JUBLPHARMA
2016-03-22,295.314453125,301.27693335750206,289.9002392484819,300.48878653557904,1462672,JUBLPHARMA
2016-03-23,293.498291015625,300.0090657407125,291.2709449181735,296.0683314699706,925568,JUBLPHARMA
2016-03-28,282.6698303222656,294.18361803774354,281.4362311126856,291.9562443259722,413251,JUBLPHARMA
2016-03-29,268.55181884765625,285.20566156786526,266.80417789346455,284.2119147834641,878831,JUBLPHARMA
2016-03-30,271.80718994140625,278.660631355486,270.7106292818116,272.76665613195667,534352,JUBLPHARMA
2016-03-31,285.6853942871094,294.5605820349579,272.5268056224091,273.93175220461023,2114587,JUBLPHARMA
2016-04-01,281.12786865234375,287.80996313607045,278.93477512046144,287.1588828326189,571383,JUBLPHARMA
2016-04-04,286.50775146484375,289.0777916344331,274.8226722826928,280.990751967473,791238,JUBLPHARMA
2016-04-05,277.4269714355469,286.4735052333662,275.1653449536898,286.4735052333662,457032,JUBLPHARMA
2016-04-06,279.2088623046875,286.4049693018508,277.2213690061786,279.4829954671866,565104,JUBLPHARMA
2016-04-07,274.6170349121094,282.29290244201934,272.83516944222504,276.8786891338951,452115,JUBLPHARMA
2016-04-08,271.2931823730469,278.249409957629,270.1281162582744,272.9722900499288,369996,JUBLPHARMA
2016-04-11,279.79144287109375,284.074843726442,273.24641528264766,273.31494858151746,856143,JUBLPHARMA
2016-04-12,273.417724609375,282.0187787201979,271.9442448022887,277.564058715559,502031,JUBLPHARMA
2016-04-13,272.25262451171875,278.9347176179286,270.0937841406456,275.8849445055426,435149,JUBLPHARMA
2016-04-18,269.6826171875,274.8226980078225,267.28389608244714,272.7666433833792,448312,JUBLPHARMA
2016-04-20,265.77618408203125,272.04707870758864,263.8914764876157,269.68263800329083,512798,JUBLPHARMA
