Date,Close,High,Low,Open,Volume,symbol
,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,
2016-03-08,129.26837158203125,132.29864539627633,128.77160588002667,132.1297468768051,3317790,KOTAKBANK
2016-03-09,131.12628173828125,131.9707895683841,128.70206247830768,129.14916377664886,4064310,KOTAKBANK
2016-03-10,130.0731201171875,133.13319843780394,129.37765121706673,133.13319843780394,17833535,KOTAKBANK
2016-03-11,127.69859313964844,130.96732002515446,127.27138190274565,130.55002348480718,21468120,KOTAKBANK
2016-03-14,126.53616333007812,129.17896056809826,125.69166313192909,129.139210821313,12830510,KOTAKBANK
2016-03-15,127.07267761230469,127.76815419525977,125.5923178317968,126.75474784239607,10754985,KOTAKBANK
2016-03-16,129.40745544433594,129.82473678279655,126.27783024579648,126.47654105937949,10768580,KOTAKBANK
2016-03-17,129.40745544433594,130.5996900056641,128.00657263373503,130.33143230233765,28952985,KOTAKBANK
2016-03-18,130.90769958496094,131.33492599559168,128.9206366668888,129.15908967468877,9695990,KOTAKBANK
2016-03-21,131.8813934326172,132.13970619762694,129.67575201109776,131.15610443070412,5821815,KOTAKBANK
2016-03-22,132.3979949951172,133.1034089919958,130.15261938548733,131.15608068800375,5897795,KOTAKBANK
2016-03-23,131.13621520996094,134.28570793514706,130.17248853719678,132.33837971675428,16347850,KOTAKBANK
2016-03-28,133.05372619628906,134.70299199499752,131.25543674833617,132.03039004458012,14524240,KOTAKBANK
2016-03-29,133.43128967285156,135.5176968236024,132.92457888188557,133.14315703483396,9831650,KOTAKBANK
2016-03-30,135.88528442382812,136.4118548165991,132.23902625724506,134.136659578323,14137090,KOTAKBANK
2016-03-31,135.24945068359375,138.08100641985015,134.54403663387808,134.54403663387808,19910660,KOTAKBANK
2016-04-01,135.10040283203125,136.4416763585881,134.55395750046782,135.51768422338324,7351630,KOTAKBANK
2016-04-04,136.57083129882812,136.96823779009245,133.97771376910083,135.41833125004135,10299785,KOTAKBANK
2016-04-05,132.8848114013672,136.06410852998113,132.08998332919256,135.91508489898536,14462615,KOTAKBANK
2016-04-06,132.73577880859375,133.9876227046923,132.0005602384564,132.93448202320064,8418790,KOTAKBANK
2016-04-07,131.64291381835938,132.73580444994258,130.25197588733204,132.5370860368646,8097120,KOTAKBANK
2016-04-08,132.20924377441406,133.21270513020818,130.76861097360427,130.76861097360427,5038705,KOTAKBANK
2016-04-11,133.3915252685547,134.11681413279751,131.20575913926106,133.31204093438754,9954090,KOTAKBANK
2016-04-12,134.59371948242188,135.5276415594233,133.083547290673,133.1034221663783,5928440,KOTAKBANK
2016-04-13,137.57427978515625,139.08445160006707,135.75611569406485,136.51119402147802,12188990,KOTAKBANK
2016-04-18,135.7859344482422,137.3259111483252,130.6891135214163,137.3259111483252,8191005,KOTAKBANK
2016-04-20,136.54100036621094,137.5047269476691,135.15999245464997,136.59067996362228,5438255,KOTAKBANK
2016-04-21,136.4515838623047,137.02783383027278,135.7461851353689,136.90861492658433,10687120,KOTAKBANK
2016-04-22,134.34532165527344,135.86542353577352,133.71939200091933,135.1302048173272,9875030,KOTAKBANK
2016-04-25,135.20970153808594,135.68660758513502,133.35180243839875,133.35180243839875,6058445,KOTAKBANK
2016-04-26,139.26329040527344,140.087923262126,134.89175843843282,135.11033655278342,10542295,KOTAKBANK
2016-04-27,141.57823181152344,143.0287944008727,139.29310644149552,139.57129403505508,9645560,KOTAKBANK
2016-04-28,139.38253784179688,142.75060927115126,138.79635785157595,142.07501507769433,7576220,KOTAKBANK
2016-04-29,142.50221252441406,142.93936880007718,138.20023456821605,138.89570357036771,7450705,KOTAKBANK
