Date,Close,High,Low,Open,Volume,symbol
,MAHASTEEL.NS,MAHASTEEL.NS,MAHASTEEL.NS,MAHASTEEL.NS,MAHASTEEL.NS,
2016-07-01,133.8000030517578,137.35000610351562,128.0,136.6999969482422,103294,MAHASTEEL
2016-07-04,134.9499969482422,138.9499969482422,131.9499969482422,131.9499969482422,58673,MAHASTEEL
2016-07-05,136.25,136.39999389648438,133.0,136.0,59297,MAHASTEEL
2016-07-07,136.60000610351562,137.60000610351562,131.35000610351562,137.0,68796,MAHASTEEL
2016-07-08,133.85000610351562,138.0,132.6999969482422,137.0,39177,MAHASTEEL
2016-07-11,135.6999969482422,138.5500030517578,133.0500030517578,138.0,87642,MAHASTEEL
2016-07-12,136.0,138.0,133.39999389648438,135.5,83765,MAHASTEEL
2016-07-13,136.9499969482422,158.0,131.60000610351562,158.0,78238,MAHASTEEL
2016-07-14,138.9499969482422,141.5,134.10000610351562,141.0,100658,MAHASTEEL
2016-07-15,141.89999389648438,144.39999389648438,135.1999969482422,141.0,90548,MAHASTEEL
2016-07-18,153.5,165.0,137.0,143.5,163973,MAHASTEEL
2016-07-19,164.39999389648438,179.89999389648438,154.1999969482422,165.0,119528,MAHASTEEL
2016-07-20,170.1999969482422,171.25,164.0,164.0,99401,MAHASTEEL
2016-07-21,199.64999389648438,202.0,172.5,173.0,218918,MAHASTEEL
2016-07-22,219.1999969482422,219.60000610351562,198.5,202.85000610351562,279211,MAHASTEEL
2016-07-25,231.1999969482422,237.0,212.0,219.0,264054,MAHASTEEL
2016-07-26,219.1999969482422,244.0,208.3000030517578,229.0,208615,MAHASTEEL
2016-07-27,216.8000030517578,220.0,212.0,219.89999389648438,75024,MAHASTEEL
2016-07-28,219.35000610351562,223.0,198.0,212.0,30702,MAHASTEEL
2016-07-29,225.14999389648438,230.0,215.75,223.39999389648438,78477,MAHASTEEL
2016-08-01,234.14999389648438,235.0,226.35000610351562,229.8000030517578,70774,MAHASTEEL
2016-08-02,235.75,237.0,226.5500030517578,232.9499969482422,105951,MAHASTEEL
2016-08-03,244.1999969482422,247.0,227.0,237.0,104880,MAHASTEEL
2016-08-04,268.6000061035156,268.6000061035156,247.0500030517578,248.0,86657,MAHASTEEL
2016-08-05,303.54998779296875,312.0,275.0,279.0,541375,MAHASTEEL
2016-08-08,308.29998779296875,321.0,289.6000061035156,301.8999938964844,428190,MAHASTEEL
2016-08-09,302.8500061035156,313.0,296.6499938964844,306.0,107174,MAHASTEEL
2016-08-10,302.6000061035156,311.70001220703125,298.6499938964844,305.0,130427,MAHASTEEL
2016-08-11,306.0,311.0,301.0,305.0,150009,MAHASTEEL
2016-08-12,300.1000061035156,309.5,297.0,307.1499938964844,50403,MAHASTEEL
2016-08-16,298.8500061035156,307.75,295.5,302.95001220703125,101657,MAHASTEEL
2016-08-17,297.5,304.95001220703125,293.0,299.0,39224,MAHASTEEL
2016-08-18,303.1499938964844,330.0,296.29998779296875,302.70001220703125,52144,MAHASTEEL
2016-08-19,359.8999938964844,363.75,300.25,302.20001220703125,613837,MAHASTEEL
2016-08-22,341.04998779296875,362.25,337.29998779296875,356.75,310266,MAHASTEEL
2016-08-23,336.54998779296875,378.79998779296875,317.04998779296875,337.0,615240,MAHASTEEL
2016-08-24,336.75,345.8500061035156,328.75,336.6000061035156,133516,MAHASTEEL
2016-08-25,339.1499938964844,390.0,331.0,335.1000061035156,180696,MAHASTEEL
2016-08-26,328.6000061035156,340.5,320.95001220703125,335.04998779296875,126255,MAHASTEEL
2016-08-29,394.1000061035156,394.29998779296875,328.70001220703125,328.70001220703125,979591,MAHASTEEL
2016-08-30,380.25,414.3999938964844,373.75,399.0,750542,MAHASTEEL
2016-08-31,374.3500061035156,382.20001220703125,368.54998779296875,377.1000061035156,185674,MAHASTEEL
2016-09-01,377.70001220703125,381.0,370.04998779296875,377.29998779296875,155070,MAHASTEEL
2016-09-02,390.54998779296875,417.0,380.0,380.0,345225,MAHASTEEL
2016-09-06,409.1499938964844,410.0,386.20001220703125,390.0,276461,MAHASTEEL
2016-09-07,420.20001220703125,423.20001220703125,410.0,411.0,223603,MAHASTEEL
2016-09-08,490.1000061035156,504.20001220703125,417.04998779296875,423.95001220703125,481749,MAHASTEEL
