Date,Close,High,Low,Open,Volume,symbol
,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS,
2016-03-08,9674.6826171875,9741.328406918414,9473.119031109129,9590.517074392654,6201,PAGEIND
2016-03-09,10115.69140625,10212.725569939357,9651.562632588022,9725.975275289316,14901,PAGEIND
2016-03-10,10306.146484375,10475.51552670556,10001.633908374633,10117.000038420896,62407,PAGEIND
2016-03-11,10265.1025390625,10439.393450476158,10078.30457562453,10358.117895930929,9597,PAGEIND
2016-03-14,10402.458984375,10610.976309895641,10213.62911190806,10321.996529541037,12432,PAGEIND
2016-03-15,10183.8251953125,10462.103967325647,10014.95268387121,10317.929836751173,10008,PAGEIND
2016-03-16,10118.0390625,10195.56655640828,10023.984834024082,10114.291003699975,8325,PAGEIND
2016-03-17,10364.4404296875,10403.227110942169,10159.896929005768,10182.021943428297,9560,PAGEIND
2016-03-18,10588.58203125,10675.365930892503,10349.089828473578,10385.122352624478,176229,PAGEIND
2016-03-21,10479.2177734375,10786.484512558862,10386.15744293516,10675.09220618252,7228,PAGEIND
2016-03-22,10433.345703125,10571.69497359343,10403.273915841313,10565.825070776333,3548,PAGEIND
2016-03-23,10264.2431640625,10478.313740834263,9320.498811521944,10430.406499138562,66613,PAGEIND
2016-03-28,9982.853515625,10157.640982575862,9814.11585832263,10157.640982575862,17966,PAGEIND
2016-03-29,10027.685546875,10100.698603366078,9849.692465602953,9916.519021251126,9447,PAGEIND
2016-03-30,10207.3974609375,10235.031681106857,9973.59529046491,10033.468111320752,14286,PAGEIND
2016-03-31,10942.306640625,11192.906216001786,10070.987191479124,10114.289168360372,27403,PAGEIND
2016-04-01,10966.103515625,11032.885101839363,10595.62246917655,10835.746917609948,8586,PAGEIND
2016-04-04,10905.5546875,11107.614757875057,10836.74120447235,10990.26170486904,6512,PAGEIND
2016-04-05,10966.1962890625,11062.508192739886,10828.660139094487,10990.263241277094,4462,PAGEIND
2016-04-06,11113.4404296875,11287.369784952158,10845.772551186128,11016.27044788463,7926,PAGEIND
2016-04-07,11036.408203125,11238.514139333764,10983.037603542669,11238.514139333764,4520,PAGEIND
2016-04-08,11569.939453125,11784.958145144903,10964.84210353474,10990.2636495336,8887,PAGEIND
2016-04-11,11682.8671875,11784.913185378684,11572.73860898527,11666.92779170994,6978,PAGEIND
2016-04-12,11626.60546875,11811.145802957939,11589.895652202935,11649.497733630813,4931,PAGEIND
2016-04-13,11649.228515625,11897.705484223008,11613.964122545498,11638.346795410731,6333,PAGEIND
2016-04-18,11549.033203125,11825.59591789048,11388.603899254313,11649.228100167891,9101,PAGEIND
2016-04-20,12234.6806640625,12295.23077839224,11532.550149129773,11532.550149129773,14512,PAGEIND
2016-04-21,11702.595703125,12488.891696422805,11649.585805311146,12448.705451042219,22820,PAGEIND
2016-04-22,11621.05078125,11861.85256314325,11469.78792964652,11739.803408031239,6740,PAGEIND
2016-04-25,11540.9921875,11730.770947855992,11449.512217842448,11730.770947855992,3684,PAGEIND
2016-04-26,11608.587890625,11762.334151397352,11468.884063488147,11468.884063488147,9303,PAGEIND
2016-04-27,11721.1103515625,11807.397733907113,11603.893101229474,11658.573319206365,4098,PAGEIND
2016-04-28,11715.552734375,11917.702699821883,11614.27403367502,11739.889536455394,12629,PAGEIND
2016-04-29,11346.1123046875,11816.562479038073,11239.144468725373,11816.562479038073,7927,PAGEIND
2016-05-02,11613.962890625,11725.355218566567,11197.967091052482,11376.773339764448,5778,PAGEIND
2016-05-03,11408.1103515625,11668.327111442772,11248.132581661628,11514.175149129274,5008,PAGEIND
2016-05-04,11447.1640625,11631.43360878164,11206.99464945498,11527.581522988947,3870,PAGEIND
2016-05-05,11418.677734375,11577.255071994103,11332.706053872935,11538.423405215963,3307,PAGEIND
2016-05-06,11801.572265625,12019.074330546862,11304.526736652,11306.784390977102,8656,PAGEIND
2016-05-09,11815.9326171875,11965.525173369571,11667.740512464621,11801.574462145229,4444,PAGEIND
2016-05-10,11714.697265625,11901.991734738123,11653.108280756333,11814.711349792216,4092,PAGEIND
2016-05-11,11808.166015625,11841.850046271273,11605.247841426992,11694.65096463151,3411,PAGEIND
2016-05-12,11740.2568359375,11942.5427119615,11694.652207637446,11942.5427119615,3487,PAGEIND
2016-05-13,11665.841796875,11783.420614686216,11569.124234907205,11694.649819846094,3814,PAGEIND
2016-05-16,12030.0029296875,12061.475165100825,11573.144457253446,11667.559399700698,5493,PAGEIND
2016-05-17,11982.0498046875,12094.616811537875,11658.527912762846,11658.527912762846,4816,PAGEIND
2016-05-18,11971.2568359375,12064.904512160381,11830.108466265045,11992.659574961815,3249,PAGEIND
2016-05-19,11983.4033203125,12055.874023713473,11830.289381281958,12001.69032023611,3307,PAGEIND
2016-05-20,11783.0595703125,12055.874167823637,11696.545550542523,11982.72616725482,6575,PAGEIND
2016-05-23,11704.4912109375,11946.601668313999,11595.310712914941,11920.41288243592,4728,PAGEIND
2016-05-24,11882.7587890625,12123.379799922059,11235.895750060914,11649.49808517809,17476,PAGEIND
2016-05-25,11684.62109375,11920.590852962037,11496.286939830907,11874.30895782599,10640,PAGEIND
2016-05-26,12028.8291015625,12082.967837122302,11668.688203693313,11697.40539481931,11408,PAGEIND
2016-05-27,12166.275390625,12257.168921439654,11854.357465083742,12055.831099281848,10601,PAGEIND
2016-05-30,12664.9892578125,12795.48167805949,12191.333379476542,12191.333379476542,21389,PAGEIND
2016-05-31,12477.21875,12746.481895718123,12368.816229089147,12698.00209288164,10574,PAGEIND
2016-06-01,12952.4345703125,13056.178681486828,12401.74185883668,12481.833446797245,12956,PAGEIND
2016-06-02,12907.345703125,13175.071967947393,12840.006943982049,12979.296960139645,10619,PAGEIND
2016-06-03,12758.33203125,13069.111208569451,12678.827834099759,12907.842496076462,9243,PAGEIND
2016-06-06,12608.546875,12829.149997947412,12508.827910866208,12829.149997947412,10740,PAGEIND
2016-06-07,12639.16796875,12817.169589830408,12590.41610680912,12662.729513796074,7622,PAGEIND
2016-06-08,12497.9345703125,12675.891166982457,12355.252724697833,12644.64153212706,18951,PAGEIND
2016-06-09,12649.2978515625,12783.929442320028,12437.96559544813,12437.96559544813,4645,PAGEIND
2016-06-10,12380.255859375,12707.044433068722,12303.05793155834,12635.680580164008,8005,PAGEIND
2016-06-13,12295.505859375,12467.357125616081,12238.97583758517,12305.45514321001,4641,PAGEIND
2016-06-14,12204.9677734375,12389.571859941927,12138.1713694828,12328.067196014634,3326,PAGEIND
2016-06-15,12185.6142578125,12318.93504471969,12138.038934008056,12246.666695177677,5815,PAGEIND
2016-06-16,12151.19921875,12570.018771702327,11993.864646314712,12300.935801054266,14065,PAGEIND
2016-06-17,12396.0869140625,12436.56241836006,12166.393903520882,12264.756162568026,6919,PAGEIND
2016-06-20,12379.171875,12463.288558182332,12219.667098428763,12373.563919464837,4986,PAGEIND
2016-06-21,12285.0634765625,12427.564227419214,12257.566911276414,12392.289481795535,4941,PAGEIND
2016-06-22,12231.9697265625,12405.811077556264,12125.467134063916,12370.581380918407,9131,PAGEIND
2016-06-23,12201.8955078125,12398.077702839368,12088.383192758909,12398.077702839368,5576,PAGEIND
2016-06-24,12287.1875,12367.14393589152,11760.10144657474,12092.905249756755,9837,PAGEIND
2016-06-27,12313.1015625,12427.563405418283,12164.359551635407,12164.359551635407,6424,PAGEIND
2016-06-28,12480.97265625,12542.20616859163,12255.756990287946,12355.204807396229,4315,PAGEIND
2016-06-29,12636.0927734375,12693.211083437625,12391.430742021386,12478.75817768746,5669,PAGEIND
2016-06-30,12678.1484375,12749.647445618552,12490.875923357567,12577.253812617571,9927,PAGEIND
2016-07-01,12716.81640625,12933.982732429287,12593.580922144893,12678.104812486565,11553,PAGEIND
2016-07-04,12646.1767578125,12741.825582594698,12590.370127358858,12716.771292969373,4922,PAGEIND
2016-07-05,12462.0703125,12660.920028356719,12409.474409848133,12572.733165750291,5931,PAGEIND
2016-07-07,12227.7607421875,12506.02449328778,12179.733185789375,12481.829642350614,8797,PAGEIND
2016-07-08,12070.6103515625,12253.903706508252,11993.729497188924,12253.903706508252,8256,PAGEIND
2016-07-11,12119.587890625,12303.152406428526,12038.68192369165,12075.720581195894,12096,PAGEIND
2016-07-12,12030.541015625,12201.442794657229,11984.367459541014,12201.442794657229,5871,PAGEIND
2016-07-13,11954.51953125,12052.203431482656,11853.217708786506,12029.591417539912,7052,PAGEIND
2016-07-14,12201.0390625,12242.600132814036,11864.979390658234,11899.34966180056,6316,PAGEIND
2016-07-15,12161.875,12255.669835948032,12031.313549371194,12201.44603513991,8645,PAGEIND
2016-07-18,12068.9384765625,12264.216217149224,11984.459624077019,12075.269841596857,9818,PAGEIND
2016-07-19,12051.435546875,12150.068979706515,12025.024536683133,12120.130141859845,5308,PAGEIND
2016-07-20,12246.8486328125,12289.449316580818,11994.046300240187,12051.34479404178,5060,PAGEIND
2016-07-21,12327.345703125,12463.741184716495,12246.937034041532,12246.937034041532,5994,PAGEIND
2016-07-22,12320.6083984375,12422.995777230382,12188.825400656659,12382.339198312213,2957,PAGEIND
2016-07-25,12335.9384765625,12459.218993101045,12244.31477779227,12343.44548811978,4532,PAGEIND
2016-07-26,12094.671875,12386.27594686867,12047.683922085915,12335.942121712944,7057,PAGEIND
2016-07-27,12208.5888671875,12271.90250827028,12099.915171359116,12120.08491179055,6946,PAGEIND
2016-07-28,12276.470703125,12359.727969541902,12106.473389851324,12208.589607617883,6845,PAGEIND
2016-07-29,12972.2421875,13032.254123614226,12277.736210108154,12277.736210108154,10700,PAGEIND
2016-08-01,13506.7451171875,13627.809494801899,13006.431309169131,13024.430826810974,22002,PAGEIND
2016-08-02,13334.216796875,13775.196191187975,13256.114357454075,13553.643464210703,15038,PAGEIND
2016-08-03,12649.2685546875,13435.321268567826,12502.232140810065,13435.321268567826,12734,PAGEIND
2016-08-04,12239.728515625,12808.396871686511,12025.19846345529,12792.089675216688,14039,PAGEIND
2016-08-05,12592.236328125,12909.86392454823,12244.892688013604,12244.892688013604,8351,PAGEIND
2016-08-08,12879.833984375,12995.026588031615,12629.020540794807,12773.928309955903,5861,PAGEIND
2016-08-09,12780.26953125,12990.45121405166,12593.824060260897,12990.45121405166,5742,PAGEIND
2016-08-10,12687.271484375,12909.864911048873,12581.909044536615,12909.864911048873,4109,PAGEIND
2016-08-11,12881.4658203125,13770.343617757955,12229.721014134164,12599.21464810493,69007,PAGEIND
2016-08-12,12759.16015625,13149.672086096622,12643.10672927953,12898.99402967398,9227,PAGEIND
2016-08-16,12739.2275390625,12909.818756368997,12585.53185838311,12772.022415309744,6954,PAGEIND
2016-08-17,12984.337890625,13042.364173718857,12593.689632985384,12738.642538623659,6771,PAGEIND
2016-08-18,12843.916015625,13100.52798140853,12778.50583363349,12985.063744308318,6235,PAGEIND
2016-08-19,12982.2041015625,13125.481296076276,12816.052418860354,12843.729178249128,10921,PAGEIND
