Date,Close,High,Low,Open,Volume,symbol
,SALZERELEC.NS,SALZERELEC.NS,SALZERELEC.NS,SALZERELEC.NS,SALZERELEC.NS,
2016-03-08,183.69187927246094,190.68877687149157,180.7531879749579,186.5839359741501,28676,SALZERELEC
2016-03-09,178.23428344726562,184.15831406766776,176.3684443412701,180.98639328156446,46118,SALZERELEC
2016-03-10,181.7793731689453,185.41775358289826,175.3888687979113,175.3888687979113,39886,SALZERELEC
2016-03-11,181.59278869628906,187.98329344804117,179.21385517978996,181.96596506560752,70080,SALZERELEC
2016-03-14,183.038818359375,188.44975475890297,182.15254760730596,184.15831900594762,57023,SALZERELEC
2016-03-15,181.12631225585938,182.85221899659962,178.37420262310795,182.85221899659962,14804,SALZERELEC
2016-03-16,177.06813049316406,182.19918793285666,175.43552130780733,182.19918793285666,38588,SALZERELEC
2016-03-17,178.98060607910156,181.4528369814179,178.2342676557841,180.19339000236835,22166,SALZERELEC
2016-03-18,176.78823852539062,180.00680783091943,175.34221050834975,178.2342665424315,42143,SALZERELEC
2016-03-21,173.94284057617188,180.51992599834998,173.5230296418248,180.51992599834998,22711,SALZERELEC
2016-03-22,176.8348846435547,179.35376431220857,173.52301774809257,173.5696665676497,27692,SALZERELEC
2016-03-23,174.50259399414062,179.8668810783203,173.14986357647882,175.43551348704145,24031,SALZERELEC
2016-03-28,170.49102783203125,176.97481509952942,169.79133825132524,175.43550371606457,14941,SALZERELEC
2016-03-29,166.43283081054688,173.52302460685095,165.1267492226485,172.82333499150076,33973,SALZERELEC
2016-03-30,171.75050354003906,174.0828025330585,167.50571652569906,170.4444075628142,38433,SALZERELEC
2016-03-31,174.9690399169922,179.0738796673602,170.7242537126126,173.19648447939005,52707,SALZERELEC
2016-04-01,180.84645080566406,181.9193025367923,173.52302703509417,173.52302703509417,14832,SALZERELEC
2016-04-04,201.4639434814453,207.48127082110534,178.60741796605754,182.33909560122288,159382,SALZERELEC
2016-04-05,196.51947021484375,204.0294743961718,194.4670503369904,200.39109435066908,84853,SALZERELEC
2016-04-06,201.27735900878906,205.14896879505545,194.04723371415122,199.17829037486194,53640,SALZERELEC
2016-04-07,203.70297241210938,215.0845871238462,202.35022778948692,204.58924306349476,64700,SALZERELEC
2016-04-08,203.00328063964844,209.62700027918422,201.5572526264019,204.6825242831902,59966,SALZERELEC
2016-04-11,202.16366577148438,204.91577562598417,201.04416514671428,203.8429238262509,13556,SALZERELEC
2016-04-12,198.43194580078125,203.46971890560965,192.8344296188962,202.4901507267358,13363,SALZERELEC
2016-04-13,200.437744140625,204.30935406000253,198.7118375104134,200.53102754198574,33110,SALZERELEC
2016-04-18,200.67095947265625,205.24225862987,195.913065055785,200.43772963330412,64548,SALZERELEC
2016-04-20,201.27735900878906,204.30934703557267,200.81089931236082,202.72338691476068,18242,SALZERELEC
2016-04-21,206.73495483398438,209.67364539346397,201.7438301060582,203.23650691307006,126234,SALZERELEC
2016-04-22,207.52793884277344,210.79315707569933,207.10812791701304,207.94774976853384,37746,SALZERELEC
2016-04-25,203.8895263671875,208.04101461904378,203.3764178787065,208.04101461904378,17661,SALZERELEC
2016-04-26,201.51060485839844,204.91575521863004,200.5776853914614,204.86912063346028,7520,SALZERELEC
2016-04-27,199.8313446044922,207.5745789354195,198.29203319636295,200.85756170005916,14165,SALZERELEC
2016-04-28,197.12586975097656,201.04412833789615,196.09965272894564,197.91884269052758,7964,SALZERELEC
2016-04-29,198.8984375,202.1636557983802,191.52837903488785,197.77893693045692,14941,SALZERELEC
2016-05-02,197.452392578125,200.1112186600036,192.64786318550463,198.99171818587294,18479,SALZERELEC
2016-05-03,197.17251586914062,201.23070661479113,194.32710892446752,194.37375774032512,6823,SALZERELEC
2016-05-04,192.3213653564453,197.63901834049108,191.29516236153458,193.39423141253482,7348,SALZERELEC
2016-05-05,189.7091827392578,194.98017212904034,188.4497357419433,194.42041474462908,41246,SALZERELEC
2016-05-06,196.70606994628906,199.03836855018048,177.34799153399044,187.5634565719906,155029,SALZERELEC
2016-05-09,199.59811401367188,203.37644064330968,192.64786693964885,194.1405437577249,28514,SALZERELEC
2016-05-10,200.11122131347656,202.72339861123282,196.8460032500865,201.8371279839283,18703,SALZERELEC
2016-05-11,200.9042205810547,203.37645156888124,195.91309554800486,195.95974437017972,15238,SALZERELEC
2016-05-12,199.3648681640625,204.3093437128326,197.77890806904344,198.01213791346447,95814,SALZERELEC
2016-05-13,195.9130859375,202.9099818638393,194.70028779655695,202.9099818638393,16464,SALZERELEC
2016-05-16,196.5661163330078,198.19872529629728,194.98015618714214,196.9392926371777,6623,SALZERELEC
2016-05-17,197.452392578125,202.44351724578453,193.48748498229742,196.98593286096883,79133,SALZERELEC
2016-05-18,196.23960876464844,199.784691227996,194.18717462032612,199.784691227996,12694,SALZERELEC
2016-05-19,194.7469482421875,198.71185617047155,194.0472586077844,198.52527511500847,3103,SALZERELEC
2016-05-20,191.94818115234375,197.73227902532147,190.08234221040115,193.90731773547202,9772,SALZERELEC
2016-05-23,189.24273681640625,192.6945363117456,188.44974950312087,192.6945363117456,15030,SALZERELEC
