Date,Close,High,Low,Open,Volume,symbol
,VSTTILLERS.NS,VSTTILLERS.NS,VSTTILLERS.NS,VSTTILLERS.NS,VSTTILLERS.NS,
2016-03-08,1308.8768310546875,1324.6177285750116,1256.5862940799457,1256.5862940799457,4029,VSTTILLERS
2016-03-09,1294.391357421875,1339.999761129088,1279.0091428179917,1279.0091428179917,2641,VSTTILLERS
2016-03-10,1282.37255859375,1300.0418551759842,1275.4214221509442,1296.050601271529,2220,VSTTILLERS
2016-03-11,1289.906982421875,1309.4597948988935,1278.8748101184376,1309.4597948988935,848,VSTTILLERS
2016-03-14,1304.2127685546875,1317.576912986893,1291.5662046978393,1300.5354144526852,1952,VSTTILLERS
2016-03-15,1324.3038330078125,1336.4122662930176,1300.580316773621,1324.7522934998572,1732,VSTTILLERS
2016-03-16,1335.6944580078125,1349.86585093552,1320.4020235285282,1336.412038467724,3298,VSTTILLERS
2016-03-17,1356.099365234375,1383.0518791780391,1341.3450618098298,1346.2781262297256,6945,VSTTILLERS
2016-03-18,1361.1671142578125,1390.2273728523373,1331.9275152811103,1389.2407817755377,2297,VSTTILLERS
2016-03-21,1375.797119140625,1390.5175821437758,1347.6244397552907,1358.8119695216049,2798,VSTTILLERS
2016-03-22,1373.21533203125,1385.082267207795,1359.8536816445169,1381.4587687978333,1198,VSTTILLERS
2016-03-23,1376.159423828125,1385.9881411443441,1359.7177776847454,1375.1176459196824,1414,VSTTILLERS
2016-03-28,1376.3857421875,1404.1054798675175,1364.33756706358,1376.023370270167,1748,VSTTILLERS
2016-03-29,1365.24365234375,1385.8523004719175,1362.8884003880396,1383.270579855458,2289,VSTTILLERS
2016-03-30,1375.0272216796875,1384.6294713307675,1364.337856046345,1366.104378049869,925,VSTTILLERS
2016-03-31,1348.666015625,1390.517373782925,1340.694275699498,1361.7105201134443,1215,VSTTILLERS
2016-04-01,1347.850830078125,1376.7482517331443,1338.8826494844438,1376.7029137713016,1254,VSTTILLERS
2016-04-04,1382.0927734375,1394.0050460303141,1354.4183719481464,1356.09421776986,698,VSTTILLERS
2016-04-05,1381.0511474609375,1400.436775181133,1372.400000912795,1381.4587467934075,4514,VSTTILLERS
2016-04-06,1388.7056884765625,1414.8854851503527,1377.1557879363954,1394.7750037439455,4296,VSTTILLERS
2016-04-07,1388.4793701171875,1422.2232008376998,1382.228812914623,1388.7058387797413,8280,VSTTILLERS
2016-04-08,1404.2413330078125,1413.1641744289966,1370.1804750222666,1395.9072215283368,2862,VSTTILLERS
2016-04-11,1396.5867919921875,1404.2414985208056,1381.6851994234817,1404.2414985208056,2554,VSTTILLERS
2016-04-12,1545.4674072265625,1603.3980437267933,1413.1190395597123,1413.1190395597123,46991,VSTTILLERS
2016-04-13,1603.98681640625,1672.8785105447112,1561.7730839045767,1580.7511117591562,39141,VSTTILLERS
2016-04-18,1652.2698974609375,1662.279855811195,1612.4567538659003,1627.8566217399004,14321,VSTTILLERS
2016-04-20,1646.427001953125,1673.7843692527347,1630.5741972575652,1657.7504338785247,7310,VSTTILLERS
2016-04-21,1626.3165283203125,1675.867819062605,1608.9236716337032,1666.809074094699,2574,VSTTILLERS
2016-04-22,1627.811279296875,1664.9974749694543,1613.0002520572677,1626.3166747069456,3328,VSTTILLERS
2016-04-25,1633.2464599609375,1657.7504105346015,1621.515428883572,1630.5741742963294,2272,VSTTILLERS
2016-04-26,1629.1248779296875,1633.2918789101072,1567.2989374218591,1616.986136358592,4615,VSTTILLERS
2016-04-27,1630.8460693359375,1639.6330086306955,1612.4567709185847,1625.6825178223999,2435,VSTTILLERS
2016-04-28,1622.828857421875,1630.528790807713,1605.5720142406697,1626.0447561857616,1464,VSTTILLERS
2016-04-29,1608.3348388671875,1635.1034746088656,1603.3978670679735,1634.1522621504853,1976,VSTTILLERS
2016-05-02,1648.872802734375,1684.2472479521603,1608.0632208264594,1608.0632208264594,7602,VSTTILLERS
2016-05-03,1604.4849853515625,1675.867945308198,1595.245109020398,1630.66478239705,4696,VSTTILLERS
2016-05-04,1627.494140625,1636.9152577497086,1585.280410106248,1604.303775027523,1518,VSTTILLERS
2016-05-05,1615.310302734375,1650.5035085587501,1594.3392837889135,1650.5035085587501,1344,VSTTILLERS
2016-05-06,1634.15234375,1637.8211798950842,1594.339201667781,1615.1743162350306,1217,VSTTILLERS
2016-05-09,1659.0638427734375,1666.8091141392279,1614.4948606927385,1635.1035059898404,4132,VSTTILLERS
2016-05-10,1658.7017822265625,1678.5856860837382,1637.1419218428687,1637.1419218428687,7793,VSTTILLERS
2016-05-11,1661.1927490234375,1666.8091268491441,1639.678229043727,1648.6916363399143,2347,VSTTILLERS
2016-05-12,1703.406494140625,1724.785111005498,1671.9273541157083,1674.9620116854862,12753,VSTTILLERS
2016-05-13,1689.27490234375,1716.6322694774085,1680.3972875359327,1703.044151249355,1965,VSTTILLERS
2016-05-16,1677.4078369140625,1689.2748818200293,1650.0504701127804,1650.0504701127804,1352,VSTTILLERS
2016-05-17,1684.4737548828125,1735.6103298833177,1648.8276128393647,1678.5855702058896,5153,VSTTILLERS
2016-05-18,1713.5523681640625,1747.4321002592478,1653.357045334413,1680.1255733680632,7208,VSTTILLERS
2016-05-19,1679.6727294921875,1739.2793256125274,1674.735756888625,1713.5524634717617,4398,VSTTILLERS
2016-05-20,1668.9381103515625,1720.2105925357885,1653.2212075628668,1720.2105925357885,963,VSTTILLERS
2016-05-23,1630.8460693359375,1693.0796094645139,1617.0767092135645,1675.8679922468436,1303,VSTTILLERS
2016-05-24,1635.8739013671875,1662.2801725457823,1603.398313572771,1630.5745561756992,1950,VSTTILLERS
2016-05-25,1643.7547607421875,1675.8679703196694,1622.3760322240655,1657.750478748646,2113,VSTTILLERS
2016-05-26,1656.9351806640625,1666.8092357528074,1613.4532006009458,1613.4532006009458,3476,VSTTILLERS
2016-05-27,1704.62939453125,1725.7815426621792,1666.8091329546965,1678.0419992276425,4728,VSTTILLERS
2016-05-30,1649.37109375,1704.8559101675132,1607.927332915694,1704.8559101675132,5006,VSTTILLERS
2016-05-31,1654.262939453125,1680.3973998084602,1614.7214906515258,1680.3973998084602,2609,VSTTILLERS
2016-06-01,1674.3731689453125,1684.9266293581763,1657.705055442036,1657.705055442036,1958,VSTTILLERS
2016-06-02,1684.3380126953125,1693.9402618939394,1643.3019572929654,1693.9402618939394,2005,VSTTILLERS
2016-06-03,1677.4984130859375,1697.5634444348473,1660.5132665171889,1660.5132665171889,1724,VSTTILLERS
2016-06-06,1678.2232666015625,1690.9508489998025,1667.2622060265676,1688.504921224631,1087,VSTTILLERS
2016-06-07,1701.6400146484375,1712.0575720373097,1673.0597387689397,1684.8813353706867,4565,VSTTILLERS
2016-06-08,1700.4171142578125,1712.0575802363508,1684.9266813997317,1692.7625184588785,1934,VSTTILLERS
2016-06-09,1701.322998046875,1722.0222097366236,1680.4426556763217,1700.3718961020631,3261,VSTTILLERS
2016-06-10,1742.4041748046875,1806.313661784531,1725.690835355833,1734.6136766141697,33056,VSTTILLERS
2016-06-13,1734.5234375,1757.306206425389,1722.5205987237239,1722.5205987237239,4622,VSTTILLERS
2016-06-14,1737.105224609375,1774.427326921889,1724.015380014261,1724.015380014261,5085,VSTTILLERS
2016-06-15,1751.1461181640625,1774.5629538030105,1736.5615596280743,1774.5629538030105,4030,VSTTILLERS
2016-06-16,1741.4078369140625,1757.396544083268,1725.8720669984866,1751.9612970397116,2023,VSTTILLERS
2016-06-17,1728.182373046875,1761.020329290067,1722.067719125729,1724.1059370994444,2240,VSTTILLERS
2016-06-20,1716.0888671875,1763.2849118092909,1699.4207524039198,1699.4207524039198,1968,VSTTILLERS
2016-06-21,1690.543212890625,1736.471123594307,1676.773962562574,1730.2205664476048,3548,VSTTILLERS
2016-06-22,1744.4425048828125,1817.1389345273449,1702.9987459265838,1727.457357769604,13171,VSTTILLERS
2016-06-23,1751.327392578125,1772.7965761718606,1737.4674670912766,1772.7965761718606,2033,VSTTILLERS
2016-06-24,1746.39013671875,1752.8671615246983,1677.0001719755028,1750.1495380184585,5080,VSTTILLERS
2016-06-27,1764.2359619140625,1792.771009233505,1743.8084472992598,1743.8084472992598,4760,VSTTILLERS
2016-06-28,1764.0548095703125,1789.1022633736213,1745.7108496547096,1745.7108496547096,4034,VSTTILLERS
2016-06-29,1763.4208984375,1789.1024224872494,1743.9898209690816,1764.6891450555966,3025,VSTTILLERS
