Date,Close,High,Low,Open,Volume,symbol
,WILLAMAGOR.NS,WILLAMAGOR.NS,WILLAMAGOR.NS,WILLAMAGOR.NS,WILLAMAGOR.NS,
2016-03-08,58.0,59.95000076293945,56.29999923706055,59.5,741,WILLAMAGOR
2016-03-09,57.0,57.0,57.0,57.0,63,WILLAMAGOR
2016-03-10,58.04999923706055,60.0,56.20000076293945,57.0,3501,WILLAMAGOR
2016-03-11,56.400001525878906,59.75,56.29999923706055,59.5,278,WILLAMAGOR
2016-03-14,56.150001525878906,57.0,56.0,56.400001525878906,2003,WILLAMAGOR
2016-03-15,55.400001525878906,57.5,54.5,57.0,5236,WILLAMAGOR
2016-03-16,55.79999923706055,59.95000076293945,55.099998474121094,59.95000076293945,3793,WILLAMAGOR
2016-03-17,57.75,60.0,55.0,58.0,13701,WILLAMAGOR
2016-03-18,55.95000076293945,58.79999923706055,55.650001525878906,58.79999923706055,4591,WILLAMAGOR
2016-03-21,55.70000076293945,56.0,55.099998474121094,55.099998474121094,2134,WILLAMAGOR
2016-03-22,57.79999923706055,59.400001525878906,56.099998474121094,56.099998474121094,2715,WILLAMAGOR
2016-03-23,57.900001525878906,60.5,57.0,60.5,3734,WILLAMAGOR
2016-03-28,56.599998474121094,65.4000015258789,56.099998474121094,65.4000015258789,44718,WILLAMAGOR
2016-03-29,59.20000076293945,61.95000076293945,57.400001525878906,58.400001525878906,30964,WILLAMAGOR
2016-03-30,58.900001525878906,60.5,57.04999923706055,59.0,2705,WILLAMAGOR
2016-03-31,60.04999923706055,62.099998474121094,58.79999923706055,58.79999923706055,17366,WILLAMAGOR
2016-04-01,62.25,64.44999694824219,58.20000076293945,60.70000076293945,48298,WILLAMAGOR
2016-04-04,61.45000076293945,64.30000305175781,60.45000076293945,63.70000076293945,11540,WILLAMAGOR
2016-04-05,59.45000076293945,62.900001525878906,59.099998474121094,62.0,8614,WILLAMAGOR
2016-04-06,60.45000076293945,61.900001525878906,59.150001525878906,59.20000076293945,9888,WILLAMAGOR
2016-04-07,59.79999923706055,61.900001525878906,59.29999923706055,60.0,1657,WILLAMAGOR
2016-04-08,59.849998474121094,60.0,59.400001525878906,59.400001525878906,4268,WILLAMAGOR
2016-04-11,59.900001525878906,61.5,59.099998474121094,60.099998474121094,1080,WILLAMAGOR
2016-04-12,60.0,60.5,59.5,59.79999923706055,12633,WILLAMAGOR
2016-04-13,60.04999923706055,61.0,60.0,60.04999923706055,2287,WILLAMAGOR
2016-04-18,60.849998474121094,61.5,59.900001525878906,61.400001525878906,10976,WILLAMAGOR
2016-04-20,61.54999923706055,62.5,60.79999923706055,61.45000076293945,3777,WILLAMAGOR
2016-04-21,59.900001525878906,61.0,58.79999923706055,60.75,10557,WILLAMAGOR
2016-04-22,60.79999923706055,62.400001525878906,58.650001525878906,61.0,11420,WILLAMAGOR
2016-04-25,60.75,63.0,59.400001525878906,63.0,3096,WILLAMAGOR
2016-04-26,60.349998474121094,63.0,60.25,63.0,2304,WILLAMAGOR
2016-04-27,60.400001525878906,60.599998474121094,59.54999923706055,60.599998474121094,6385,WILLAMAGOR
2016-04-28,59.54999923706055,61.0,59.5,61.0,2822,WILLAMAGOR
2016-04-29,60.0,60.400001525878906,59.5,60.400001525878906,466,WILLAMAGOR
2016-05-02,59.45000076293945,60.20000076293945,59.20000076293945,60.20000076293945,5836,WILLAMAGOR
2016-05-03,59.599998474121094,61.0,59.0,59.0,5486,WILLAMAGOR
2016-05-04,59.25,60.400001525878906,59.20000076293945,59.70000076293945,1988,WILLAMAGOR
2016-05-05,59.75,59.849998474121094,59.25,59.25,702,WILLAMAGOR
2016-05-06,59.45000076293945,59.95000076293945,59.0,59.20000076293945,1710,WILLAMAGOR
2016-05-09,59.0,59.45000076293945,58.099998474121094,58.599998474121094,900,WILLAMAGOR
2016-05-10,60.0,61.0,59.5,61.0,2268,WILLAMAGOR
2016-05-11,59.54999923706055,60.45000076293945,59.099998474121094,59.5,894,WILLAMAGOR
