symbol,open,high,low,close,volume,date
NIFTY 50,24656.4,24700.9,24415.75,24450.45,433408256,06-Mar-2026 16:00:00
ICICIBANK,1339.0,1357.6,1310.4,1315.1,22778852,
HDFCBANK,868.05,871.7,855.1,857.2,34439647,
RELIANCE,1396.5,1424.3,1390.3,1407.0,19311971,
SBIN,1168.5,1169.3,1138.0,1139.8,20333328,
BHARTIARTL,1900.0,1902.1,1867.1,1873.0,10896859,
AXISBANK,1347.0,1347.9,1313.5,1314.9,11629935,
BEL,462.0,473.45,460.35,469.6,28154230,
INFY,1303.0,1327.2,1303.0,1311.0,8724291,
ETERNAL,240.63,242.9,231.58,233.04,44605775,
TCS,2572.0,2619.2,2553.6,2560.0,3998643,
LT,4015.0,4015.0,3941.0,3949.0,2379314,
ONGC,279.95,280.95,271.15,279.9,30725344,
SHRIRAMFIN,1043.9,1052.0,1000.0,1010.7,8166989,
HINDALCO,955.0,971.65,943.15,960.6,8295000,
INDIGO,4424.7,4465.0,4375.5,4410.0,1640372,
KOTAKBANK,403.7,406.7,399.0,401.3,17512726,
M&M,3315.0,3367.0,3315.0,3333.0,2084605,
ITC,310.05,312.3,309.2,309.95,21288269,
SUNPHARMA,1784.5,1805.6,1771.8,1793.5,3669921,
BAJFINANCE,960.0,961.5,946.6,951.7,6560051,
NTPC,377.0,385.55,374.65,381.15,14940896,
TATASTEEL,199.5,202.2,197.1,198.79,28551376,
MARUTI,14339.0,14466.0,14115.0,14139.0,390629,
POWERGRID,299.95,302.75,297.0,300.0,15887540,
COALINDIA,451.15,451.6,438.6,441.5,10553695,
BAJAJFINSV,1908.9,1908.9,1865.0,1870.4,2267317,
GRASIM,2701.5,2759.4,2687.2,2718.0,1457401,
ADANIPORTS,1489.0,1497.8,1470.0,1475.6,2576061,
BAJAJ-AUTO,9780.0,9884.5,9690.0,9800.0,386552,
HINDUNILVR,2245.1,2250.0,2219.5,2223.1,1674258,
ULTRACEMCO,12160.0,12208.0,11948.0,11990.0,296585,
ADANIENT,2079.1,2090.0,2030.2,2042.6,1696027,
MAXHEALTH,1048.6,1049.5,1030.0,1045.0,3185920,
JIOFIN,242.2,243.45,238.9,239.7,12566465,
EICHERMOT,7733.0,7735.0,7603.0,7625.5,366235,
HCLTECH,1356.0,1380.8,1354.2,1358.0,1871596,
TITAN,4250.0,4302.0,4227.0,4235.0,580562,
TMPV,354.0,354.35,349.35,350.8,6929668,
ASIANPAINT,2261.7,2307.9,2253.7,2282.0,979742,
HDFCLIFE,677.6,679.2,667.95,669.0,2997163,
WIPRO,195.6,198.93,195.0,196.0,9022914,
APOLLOHOSP,7770.0,7781.0,7669.0,7746.0,225749,
SBILIFE,1930.0,1962.9,1924.8,1946.0,858666,
JSWSTEEL,1240.7,1249.1,1229.2,1230.0,1140348,
TECHM,1330.0,1359.5,1326.6,1335.6,1033627,
TRENT,3785.0,3829.0,3715.8,3726.0,365100,
DRREDDY,1313.5,1316.4,1290.8,1309.0,963701,
NESTLEIND,1250.0,1264.1,1234.2,1257.9,830769,
TATACONSUM,1119.1,1128.7,1112.1,1118.7,919798,
CIPLA,1326.1,1332.7,1315.0,1323.8,695774,
