symbol,quarter,sales,profit,eps,debt,cashflow
INFY,2025-12,5099000000.0,747000000.0,69.78,978000000.0,
INFY,2025-09,5076000000.0,839000000.0,69.78,986000000.0,
INFY,2025-06,4941000000.0,809000000.0,69.78,693000000.0,
INFY,2025-03,4730000000.0,813000000.0,69.78,962000000.0,
INFY,2024-12,4939000000.0,804000000.0,69.78,960000000.0,
INFY,2024-09,,,69.78,,
INFY,2024-06,,,69.78,,
HDFCBANK,2025-06,853464600000.0,162579100000.0,44.85,5996128100000.0,
HDFCBANK,2025-03,953058900000.0,153934600000.0,44.85,7326106100000.0,
HDFCBANK,2024-12,652796600000.0,176566100000.0,44.85,6534742500000.0,
HDFCBANK,2024-09,195554500000.0,173810500000.0,44.85,7581009000000.0,
HDFCBANK,2024-06,724169900000.0,164748500000.0,44.85,6733542300000.0,
