symbol,sector,computed_time
AUBANK,BANK,2026-02-19 08:12:00.874329
AXISBANK,BANK,2026-02-19 08:12:00.874329
BANKBARODA,BANK,2026-02-19 08:12:00.874329
CANBK,BANK,2026-02-19 08:12:00.874329
FEDERALBNK,BANK,2026-02-19 08:12:00.874329
HDFCBANK,BANK,2026-02-19 08:12:00.874329
ICICIBANK,BANK,2026-02-19 08:12:00.874329
IDFCFIRSTB,BANK,2026-02-19 08:12:00.874329
INDUSINDBK,BANK,2026-02-19 08:12:00.874329
KOTAKBANK,BANK,2026-02-19 08:12:00.874329
PNB,BANK,2026-02-19 08:12:00.874329
SBIN,BANK,2026-02-19 08:12:00.874329
UNIONBANK,BANK,2026-02-19 08:12:00.874329
YESBANK,BANK,2026-02-19 08:12:00.874329
COFORGE,IT,2026-02-19 08:12:00.874329
HCLTECH,IT,2026-02-19 08:12:00.874329
INFY,IT,2026-02-19 08:12:00.874329
LTIM,IT,2026-02-19 08:12:00.874329
MPHASIS,IT,2026-02-19 08:12:00.874329
OFSS,IT,2026-02-19 08:12:00.874329
PERSISTENT,IT,2026-02-19 08:12:00.874329
TCS,IT,2026-02-19 08:12:00.874329
TECHM,IT,2026-02-19 08:12:00.874329
WIPRO,IT,2026-02-19 08:12:00.874329
ABBOTINDIA,PHARMA,2026-02-19 08:12:00.874329
AJANTPHARM,PHARMA,2026-02-19 08:12:00.874329
ALKEM,PHARMA,2026-02-19 08:12:00.874329
AUROPHARMA,PHARMA,2026-02-19 08:12:00.874329
BIOCON,PHARMA,2026-02-19 08:12:00.874329
CIPLA,PHARMA,2026-02-19 08:12:00.874329
DIVISLAB,PHARMA,2026-02-19 08:12:00.874329
DRREDDY,PHARMA,2026-02-19 08:12:00.874329
GLAND,PHARMA,2026-02-19 08:12:00.874329
GLENMARK,PHARMA,2026-02-19 08:12:00.874329
IPCALAB,PHARMA,2026-02-19 08:12:00.874329
JBCHEPHARM,PHARMA,2026-02-19 08:12:00.874329
LAURUSLABS,PHARMA,2026-02-19 08:12:00.874329
LUPIN,PHARMA,2026-02-19 08:12:00.874329
MANKIND,PHARMA,2026-02-19 08:12:00.874329
PPLPHARMA,PHARMA,2026-02-19 08:12:00.874329
SUNPHARMA,PHARMA,2026-02-19 08:12:00.874329
TORNTPHARM,PHARMA,2026-02-19 08:12:00.874329
WOCKPHARMA,PHARMA,2026-02-19 08:12:00.874329
ZYDUSLIFE,PHARMA,2026-02-19 08:12:00.874329
ASHOKLEY,AUTO,2026-02-19 08:12:00.874329
BAJAJ-AUTO,AUTO,2026-02-19 08:12:00.874329
BHARATFORG,AUTO,2026-02-19 08:12:00.874329
BOSCHLTD,AUTO,2026-02-19 08:12:00.874329
EICHERMOT,AUTO,2026-02-19 08:12:00.874329
EXIDEIND,AUTO,2026-02-19 08:12:00.874329
HEROMOTOCO,AUTO,2026-02-19 08:12:00.874329
M&M,AUTO,2026-02-19 08:12:00.874329
MARUTI,AUTO,2026-02-19 08:12:00.874329
MOTHERSON,AUTO,2026-02-19 08:12:00.874329
SONACOMS,AUTO,2026-02-19 08:12:00.874329
