symbol,sector,computed_time
20MICRONS,Unknown,2026-02-19 07:56:16.815743
21STCENMGM,Unknown,2026-02-19 07:56:16.815870
360ONE,Unknown,2026-02-19 07:56:16.815958
3IINFOLTD,IT,2026-02-19 07:56:16.816037
3MINDIA,Unknown,2026-02-19 07:56:16.816095
3PLAND,Unknown,2026-02-19 07:56:16.816143
5PAISA,Unknown,2026-02-19 07:56:16.816187
63MOONS,IT,2026-02-19 07:56:16.816273
A2ZINFRA,Unknown,2026-02-19 07:56:16.816321
AADHARHFC,Finance,2026-02-19 07:56:16.816364
AAKASH,Unknown,2026-02-19 07:56:16.816434
AAREYDRUGS,Pharma,2026-02-19 07:56:16.816518
AARON,Unknown,2026-02-19 07:56:16.816609
AARTECH,IT,2026-02-19 07:56:16.816684
AARTIDRUGS,Unknown,2026-02-19 07:56:16.816756
AARTIIND,Unknown,2026-02-19 07:56:16.816820
AARTIPHARM,Pharma,2026-02-19 07:56:16.816884
AARTISURF,Unknown,2026-02-19 07:56:16.816953
AARVI,Unknown,2026-02-19 07:56:16.817025
AAVAS,Unknown,2026-02-19 07:56:16.817090
ABB,Unknown,2026-02-19 07:56:16.817154
ABBOTINDIA,Unknown,2026-02-19 07:56:16.817255
ABCAPITAL,Unknown,2026-02-19 07:56:16.817339
ABCOTS,Unknown,2026-02-19 07:56:16.817419
ABDL,Unknown,2026-02-19 07:56:16.817496
ABFRL,Unknown,2026-02-19 07:56:16.817573
ABINFRA,Unknown,2026-02-19 07:56:16.817665
ABLBL,Unknown,2026-02-19 07:56:16.817740
ABREL,Unknown,2026-02-19 07:56:16.817819
ABSLAMC,Unknown,2026-02-19 07:56:16.817892
ACC,Unknown,2026-02-19 07:56:16.817972
ACCELYA,Unknown,2026-02-19 07:56:16.818044
ACCURACY,Unknown,2026-02-19 07:56:16.818123
ACE,Unknown,2026-02-19 07:56:16.818225
ACEINTEG,Unknown,2026-02-19 07:56:16.818311
ACI,Unknown,2026-02-19 07:56:16.818379
ACL,Cement,2026-02-19 07:56:16.818441
ACMESOLAR,Unknown,2026-02-19 07:56:16.818501
ACUTAAS,Unknown,2026-02-19 07:56:16.818562
ADANIENSOL,Energy,2026-02-19 07:56:16.818625
ADANIENT,Unknown,2026-02-19 07:56:16.818705
ADANIGREEN,Energy,2026-02-19 07:56:16.818782
ADANIPORTS,Unknown,2026-02-19 07:56:16.818869
ADANIPOWER,Energy,2026-02-19 07:56:16.818946
ADFFOODS,Unknown,2026-02-19 07:56:16.819022
ADL,Unknown,2026-02-19 07:56:16.819103
ADOR,Unknown,2026-02-19 07:56:16.819183
ADROITINFO,IT,2026-02-19 07:56:16.819282
ADSL,Unknown,2026-02-19 07:56:16.819352
ADVAIT,Energy,2026-02-19 07:56:16.819416
ADVANCE,Unknown,2026-02-19 07:56:16.819485
ADVANIHOTR,Unknown,2026-02-19 07:56:16.819547
ADVENTHTL,Unknown,2026-02-19 07:56:16.819608
ADVENZYMES,IT,2026-02-19 07:56:16.819667
AEGISLOG,Unknown,2026-02-19 07:56:16.819728
AEGISVOPAK,Unknown,2026-02-19 07:56:16.819789
AEQUS,Unknown,2026-02-19 07:56:16.819854
AEROENTER,Unknown,2026-02-19 07:56:16.819918
AEROFLEX,Unknown,2026-02-19 07:56:16.819965
AERONEU,Unknown,2026-02-19 07:56:16.820005
AETHER,Unknown,2026-02-19 07:56:16.820044
AFCONS,Unknown,2026-02-19 07:56:16.820083
AFFLE,Unknown,2026-02-19 07:56:16.820121
AFFORDABLE,Automobile,2026-02-19 07:56:16.820159
AFIL,Unknown,2026-02-19 07:56:16.820197
AFSL,Unknown,2026-02-19 07:56:16.820308
AGARIND,Unknown,2026-02-19 07:56:16.820365
AGARWALEYE,Unknown,2026-02-19 07:56:16.820408
AGI,Unknown,2026-02-19 07:56:16.820449
AGIIL,Unknown,2026-02-19 07:56:16.820488
AGROPHOS,Unknown,2026-02-19 07:56:16.820527
AHCL,Unknown,2026-02-19 07:56:16.820565
AHLADA,Unknown,2026-02-19 07:56:16.820616
AHLEAST,Unknown,2026-02-19 07:56:16.820659
AHLUCONT,Unknown,2026-02-19 07:56:16.820697
AIAENG,Unknown,2026-02-19 07:56:16.820734
AIIL,Unknown,2026-02-19 07:56:16.820772
AIRAN,Unknown,2026-02-19 07:56:16.820818
AIROLAM,Unknown,2026-02-19 07:56:16.820860
AJANTPHARM,Pharma,2026-02-19 07:56:16.820899
AJAXENGG,Unknown,2026-02-19 07:56:16.820939
AJMERA,Unknown,2026-02-19 07:56:16.820979
AJOONI,IT,2026-02-19 07:56:16.821018
AKASH,Unknown,2026-02-19 07:56:16.821061
AKG,Unknown,2026-02-19 07:56:16.821136
AKI,Unknown,2026-02-19 07:56:16.821247
AKSHAR,Unknown,2026-02-19 07:56:16.821335
AKSHARCHEM,Unknown,2026-02-19 07:56:16.821417
AKSHOPTFBR,Unknown,2026-02-19 07:56:16.821489
AKUMS,Pharma,2026-02-19 07:56:16.821537
AKZOINDIA,Unknown,2026-02-19 07:56:16.821579
ALANKIT,Unknown,2026-02-19 07:56:16.821618
ALBERTDAVD,Unknown,2026-02-19 07:56:16.821658
ALEMBICLTD,Unknown,2026-02-19 07:56:16.821698
ALGOQUANT,IT,2026-02-19 07:56:16.821737
ALICON,Unknown,2026-02-19 07:56:16.821776
ALIVUS,Unknown,2026-02-19 07:56:16.821815
ALKALI,Metals,2026-02-19 07:56:16.821854
ALKEM,Unknown,2026-02-19 07:56:16.821892
ALKYLAMINE,Unknown,2026-02-19 07:56:16.821931
ALLCARGO,Unknown,2026-02-19 07:56:16.821968
ALLDIGI,IT,2026-02-19 07:56:16.822006
ALLTIME,Unknown,2026-02-19 07:56:16.822044
ALMONDZ,Unknown,2026-02-19 07:56:16.822082
ALOKINDS,Unknown,2026-02-19 07:56:16.822120
ALPA,Unknown,2026-02-19 07:56:16.822160
ALPHAGEO,Unknown,2026-02-19 07:56:16.822222
AMAGI,Unknown,2026-02-19 07:56:16.822302
AMANTA,Unknown,2026-02-19 07:56:16.822380
AMBER,Unknown,2026-02-19 07:56:16.822460
AMBICAAGAR,Unknown,2026-02-19 07:56:16.822546
AMBIKCO,Unknown,2026-02-19 07:56:16.822624
AMBUJACEM,Cement,2026-02-19 07:56:16.822686
AMDIND,Unknown,2026-02-19 07:56:16.822753
AMJLAND,Unknown,2026-02-19 07:56:16.822815
AMNPLST,Unknown,2026-02-19 07:56:16.822875
AMRUTANJAN,Unknown,2026-02-19 07:56:16.822934
ANANDRATHI,Unknown,2026-02-19 07:56:16.822995
ANANTRAJ,Unknown,2026-02-19 07:56:16.823071
ANDHRAPAP,Unknown,2026-02-19 07:56:16.823149
ANDHRSUGAR,Unknown,2026-02-19 07:56:16.823248
ANGELONE,Unknown,2026-02-19 07:56:16.823330
ANIKINDS,Unknown,2026-02-19 07:56:16.823407
ANMOL,Unknown,2026-02-19 07:56:16.823482
ANTELOPUS,Energy,2026-02-19 07:56:16.823565
ANTGRAPHIC,Unknown,2026-02-19 07:56:16.823640
ANTHEM,Pharma,2026-02-19 07:56:16.823714
ANUHPHR,Pharma,2026-02-19 07:56:16.823789
ANUP,Unknown,2026-02-19 07:56:16.823862
ANURAS,Unknown,2026-02-19 07:56:16.823926
APARINDS,Unknown,2026-02-19 07:56:16.823991
APCL,Cement,2026-02-19 07:56:16.824054
APCOTEXIND,Unknown,2026-02-19 07:56:16.824123
APEX,Unknown,2026-02-19 07:56:16.824217
APLAPOLLO,Unknown,2026-02-19 07:56:16.824300
APLLTD,Pharma,2026-02-19 07:56:16.824379
APOLLO,Unknown,2026-02-19 07:56:16.824466
APOLLOHOSP,Unknown,2026-02-19 07:56:16.824543
APOLLOPIPE,Unknown,2026-02-19 07:56:16.824636
APOLLOTYRE,Unknown,2026-02-19 07:56:16.824713
APOLSINHOT,Unknown,2026-02-19 07:56:16.824790
APTECHT,IT,2026-02-19 07:56:16.824870
APTUS,Finance,2026-02-19 07:56:16.824949
ARCHIDPLY,Unknown,2026-02-19 07:56:16.825012
ARCHIES,Unknown,2026-02-19 07:56:16.825079
ARE&M,Energy,2026-02-19 07:56:16.825140
ARENTERP,Unknown,2026-02-19 07:56:16.825191
ARFIN,Unknown,2026-02-19 07:56:16.825269
ARIES,Unknown,2026-02-19 07:56:16.825312
ARIHANTCAP,Unknown,2026-02-19 07:56:16.825354
ARIHANTSUP,Unknown,2026-02-19 07:56:16.825394
ARIS,Unknown,2026-02-19 07:56:16.825431
ARKADE,Unknown,2026-02-19 07:56:16.825469
ARMANFIN,Unknown,2026-02-19 07:56:16.825506
AROGRANITE,Unknown,2026-02-19 07:56:16.825543
ARROWGREEN,IT,2026-02-19 07:56:16.825580
ARSSBL,Unknown,2026-02-19 07:56:16.825618
ARTEMISMED,Unknown,2026-02-19 07:56:16.825656
ARTNIRMAN,Unknown,2026-02-19 07:56:16.825693
ARVIND,Unknown,2026-02-19 07:56:16.825731
ARVINDFASN,Unknown,2026-02-19 07:56:16.825768
ARVSMART,Unknown,2026-02-19 07:56:16.825806
ASAHIINDIA,Unknown,2026-02-19 07:56:16.825843
ASAHISONG,Unknown,2026-02-19 07:56:16.825880
ASAL,Automobile,2026-02-19 07:56:16.825918
ASALCBR,Unknown,2026-02-19 07:56:16.825955
ASHAPURMIN,Unknown,2026-02-19 07:56:16.825993
ASHIANA,Unknown,2026-02-19 07:56:16.826030
ASHIMASYN,Unknown,2026-02-19 07:56:16.826068
ASHOKA,Unknown,2026-02-19 07:56:16.826105
ASHOKAMET,Unknown,2026-02-19 07:56:16.826142
ASHOKLEY,Unknown,2026-02-19 07:56:16.826180
ASIANENE,Energy,2026-02-19 07:56:16.826243
ASIANHOTNR,Unknown,2026-02-19 07:56:16.826287
ASIANPAINT,Unknown,2026-02-19 07:56:16.826326
ASIANTILES,Unknown,2026-02-19 07:56:16.826365
ASKAUTOLTD,Automobile,2026-02-19 07:56:16.826404
ASMS,Unknown,2026-02-19 07:56:16.826441
ASPINWALL,Unknown,2026-02-19 07:56:16.826480
ASTEC,Unknown,2026-02-19 07:56:16.826518
ASTERDM,Unknown,2026-02-19 07:56:16.826557
ASTRAL,Unknown,2026-02-19 07:56:16.826595
ASTRAMICRO,Unknown,2026-02-19 07:56:16.826632
ASTRAZEN,Pharma,2026-02-19 07:56:16.826669
ASTRON,Unknown,2026-02-19 07:56:16.826707
ATALREAL,IT,2026-02-19 07:56:16.826744
ATAM,Unknown,2026-02-19 07:56:16.826782
ATGL,Energy,2026-02-19 07:56:16.826821
ATHERENERG,Energy,2026-02-19 07:56:16.826858
ATL,Unknown,2026-02-19 07:56:16.826895
ATLANTAA,Unknown,2026-02-19 07:56:16.826932
ATLANTAELE,Unknown,2026-02-19 07:56:16.826970
ATLASCYCLE,Unknown,2026-02-19 07:56:16.827007
ATUL,Unknown,2026-02-19 07:56:16.827043
ATULAUTO,Automobile,2026-02-19 07:56:16.827080
AUBANK,Finance,2026-02-19 07:56:16.827116
AURIONPRO,Unknown,2026-02-19 07:56:16.827153
AUROPHARMA,Pharma,2026-02-19 07:56:16.827189
AURUM,IT,2026-02-19 07:56:16.827247
AUTOAXLES,Automobile,2026-02-19 07:56:16.827287
AUTOIND,Automobile,2026-02-19 07:56:16.827325
